Algeria,1997,18,21,82.19841717,91.44839154,49.68,59.74,2.6500000000000004,0.39999999999999997,27.7,31.233333333333334,26.1,97.3,x
Algeria,1998,18,21,82.985532198,91.970221702,49.82,61.16,2.48,0.36,28.06,31.586666666666666,26.7,97.3,x
Algeria,1999,18,21,83.772647226,92.492051864,49.96,62.58,2.31,0.31999999999999995,28.419999999999998,31.939999999999998,27.3,98,x
Algeria,2000,18,21,84.55976225399999,93.013882026,50.1,64,2.14,0.2799999999999999,28.78,32.29333333333334,28,98.2,x
Algeria,2001,18,21,85.346877282,93.535712188,50.95,60.5,1.9700000000000002,0.24,29.14,32.64666666666667,28.5,97.9,x
Algeria,2002,18,21,86.13399231,94.05754235,51.8,57,1.8,0.2,29.5,33,29,97.9,x
Algeria,2003,18,21,87.5454043625,94.138526705,51.849999999999994,58.1,0.5583333333333333,0.07500000000000001,29.808333333333334,33.25277777777778,29.5,97.9,x
Algeria,2004,18,21,88.95681641499999,94.21951106,51.9,59.2,0.02,0.02,30.116666666666667,33.50555555555555,30.1,98.0,x
Algeria,2005,18,21,90.3682284675,94.300495415,51.95,60.3,0.02,0.02,30.425,33.75833333333333,30.6,98.1,x
Algeria,2006,18,21,91.77964052,94.38147977,52,61.4,0.02,0.02,30.733333333333334,34.01111111111111,31.1,98.05999999999999,x
Andorra,1997,16,16,x,x,x,x,x,x,x,x,x,95.1,x
Andorra,1998,16,16,x,x,x,x,x,x,x,x,x,91.3,x
Andorra,1999,16,16,x,x,x,x,x,x,x,x,x,91.9,x
Andorra,2000,16,16,x,x,x,x,x,x,x,x,x,92.4,x
Andorra,2001,16,16,x,x,x,x,x,x,x,x,x,92.4,x
Andorra,2002,16,16,x,x,x,x,x,x,x,x,x,93,12
Andorra,2003,16,16,x,x,x,x,x,x,x,x,x,92.6,13
Andorra,2004,16,16,x,x,x,x,x,x,x,x,x,92.18333333333332,9
Angola,1970,18,18,x,x,x,x,35.7,7.6,19.4,24.5,x,x,x
Angola,1985,18,18,x,x,x,x,x,x,x,x,46,103.2,x
Angola,1986,18,18,x,x,x,x,x,x,x,x,46,103.16,x
Angola,1987,18,18,x,x,x,x,x,x,x,x,46,103.12,x
