Algeria,1996,18,21,81.41130214,90.92656138,49.54,58.32,2.82,0.44,27.34,30.88,25.4,97.3,x,14771000
Algeria,1997,18,21,82.19841717,91.44839154,49.68,59.74,2.65,0.4,27.7,31.23333333,26.1,97.3,x,15016000
Algeria,1998,18,21,82.9855322,91.9702217,49.82,61.16,2.48,0.36,28.06,31.58666667,26.7,97.3,x,15249000
Algeria,1999,18,21,83.77264723,92.49205186,49.96,62.58,2.31,0.32,28.42,31.94,27.3,98,x,15473000
Algeria,2000,18,21,84.55976225,93.01388203,50.1,64,2.14,0.28,28.78,32.29333333,28,98.2,x,15691000
Algeria,2001,18,21,85.34687728,93.53571219,50.95,60.5,1.97,0.24,29.14,32.64666667,28.5,97.9,x,15903000
Algeria,2002,18,21,86.13399231,94.05754235,51.8,57,1.8,0.2,29.5,33,29,97.9,x,16113000
Algeria,2003,18,21,87.54540436,94.13852671,51.85,58.1,0.558333333,0.075,29.80833333,33.25277778,29.5,97.9,x,16327000
Algeria,2004,18,21,88.95681641,94.21951106,51.9,59.2,0.02,0.02,30.11666667,33.50555556,30.1,98,x,16554000
Algeria,2005,18,21,90.36822847,94.30049542,51.95,60.3,0.02,0.02,30.425,33.75833333,30.6,98.1,x,16800000
Algeria,2006,18,21,91.77964052,94.38147977,52,61.4,0.02,0.02,30.73333333,34.01111111,31.1,98.06,x,17068000
Andorra,1997,16,16,x,x,x,x,x,x,x,x,x,95.1,x,x
Andorra,1998,16,16,x,x,x,x,x,x,x,x,x,91.3,x,x
Andorra,1999,16,16,x,x,x,x,x,x,x,x,x,91.9,x,x
Andorra,2000,16,16,x,x,x,x,x,x,x,x,x,92.4,x,x
Andorra,2001,16,16,x,x,x,x,x,x,x,x,x,92.4,x,x
Andorra,2002,16,16,x,x,x,x,x,x,x,x,x,93,12,x
Andorra,2003,16,16,x,x,x,x,x,x,x,x,x,92.6,13,x
Andorra,2004,16,16,x,x,x,x,x,x,x,x,x,92.18333333,9,x
Angola,1970,18,18,x,x,x,x,35.7,7.6,19.4,24.5,x,x,x,3019000
Angola,1985,18,18,x,x,x,x,x,x,x,x,46,103.2,x,4599000
Angola,1986,18,18,x,x,x,x,x,x,x,x,46,103.16,x,4729000
Angola,1987,18,18,x,x,x,x,x,x,x,x,46,103.12,x,4852000
Angola,1988,18,18,x,x,x,x,x,x,x,x,46.3,103.08,x,4973000
Angola,1989,18,18,79.56084745,88.16267223,3.54,10.76,x,x,x,x,46.3,103.04,x,5102000
Angola,1990,18,18,78.94698439,87.79719394,3.62,10.38,x,x,x,x,46.4,103,x,5246000
Angola,1991,18,18,78.33312132,87.43171566,3.7,10,x,x,x,x,46.3,103,x,5409000
Angola,1992,18,18,77.71925825,87.06623738,3.78,9.62,x,x,x,x,46.6,103,x,5588000
Angola,1993,18,18,77.10539519,86.70075909,3.86,9.24,x,x,x,x,46.1,103,x,5776000
Angola,1994,18,18,76.49153212,86.33528081,3.94,8.86,x,x,x,x,46.5,103,x,5964000
Angola,1995,18,18,75.87766906,85.96980253,4.02,8.48,x,x,x,x,46,103,x,6147000
Angola,1996,18,18,75.26380599,85.60432425,4.1,8.1,x,x,x,x,46,103,x,6322000
Angola,1997,18,18,74.64994292,85.23884596,4.18,7.72,x,x,x,x,45.9,103,x,6492000
Angola,1998,18,18,74.03607986,84.87336768,4.26,7.34,x,x,x,x,46,103,x,6665000
Angola,1999,18,18,73.42221679,84.5078894,4.34,6.96,x,x,x,x,46,103,x,6851000
Angola,2000,18,18,72.80835373,84.14241111,4.42,6.58,x,x,x,x,46,103,x,7058000
Angola,2001,18,18,72.19449066,83.77693283,4.5,6.2,x,x,x,x,45.9,102.98,x,7288000
Angola,2002,18,18,71.58062759,83.41145455,4.58,5.82,x,x,x,x,46,102.96,x,7538000
Angola,2003,18,18,70.96676453,83.04597626,4.66,5.44,x,x,x,x,46,102.94,x,7805000
Angola,2004,18,18,70.35290146,82.68049798,4.74,5.06,x,x,x,x,45.9,102.92,x,8082000
Angola,2005,18,18,69.7390384,82.3150197,4.82,4.68,x,x,x,x,45.8,102.9,x,8366000
Angola,2006,18,18,69.12517533,81.94954142,4.9,4.3,x,x,x,x,45.8,100,x,8654000
Angola,2011,18,18,66.05586,80.12215,x,x,x,x,x,x,45.75238095,100,x,x
Antigua and Barbuda,1960,18,18,99.4,98.4,x,x,1.4,0.2,27.3,32.3,x,x,x,29000
Antigua and Barbuda,1981,18,18,99.4,98.4,44.6,48.2,0.519354839,0.132258065,31.29677419,32.90967742,x,x,x,36000
Antigua and Barbuda,1985,18,18,99.4,98.4,48.02857143,50.71428571,0.351612903,0.119354839,32.05806452,33.02580645,x,99,289,34000
Antigua and Barbuda,1986,18,18,99.4,98.4,48.88571429,51.34285714,0.309677419,0.116129032,32.2483871,33.05483871,x,99,245,33000
Antigua and Barbuda,1988,18,18,99.4,98.4,50.6,52.6,0.225806452,0.109677419,32.62903226,33.11290323,x,99,x,32000
Antigua and Barbuda,1991,18,18,99.4,98.4,53.17142857,54.48571429,0.1,0.1,33.2,33.2,x,107.4,196,32000
Antigua and Barbuda,1992,18,18,99.4,98.4,54.02857143,55.11428571,0.48,0.19,32.45,32.81,x,107.4,194,33000
Antigua and Barbuda,1993,18,18,99.4,98.4,54.88571429,55.74285714,0.86,0.28,31.7,32.42,x,107.4,178,33000
Antigua and Barbuda,1994,18,18,99.4,98.4,55.74285714,56.37142857,1.24,0.37,30.95,32.03,x,107.4,184,34000
Antigua and Barbuda,1995,18,18,99.4,98.4,56.6,57,1.62,0.46,30.2,31.64,x,107.4,213,35000
Antigua and Barbuda,1996,18,18,99.4,98.4,x,x,2,0.55,29.45,31.25,x,107.4,x,36000
Antigua and Barbuda,1997,18,18,99.4,98.4,x,x,2.38,0.64,28.7,30.86,x,107.4,x,38000
Antigua and Barbuda,2000,18,18,99.4,98.4,x,x,3.52,0.91,26.45,29.69,x,107.4,188.859,41000
Antigua and Barbuda,2001,18,18,99.4,98.4,x,x,3.9,1,25.7,29.3,x,112.9,222.507,42000
Antigua and Barbuda,2002,18,18,99.4,98.4,x,x,3.96097561,1.019512195,25.66097561,29.22682927,x,112.9,x,42000
Antigua and Barbuda,2003,18,18,99.4,98.4,x,x,4.02195122,1.03902439,25.62195122,29.15365854,x,112.9,x,43000
Antigua and Barbuda,2004,18,18,99.4,98.4,x,x,4.082926829,1.058536585,25.58292683,29.0804878,x,112.9,x,43000
Argentina,1970,16,18,x,x,x,x,10.8,1.9,23.1,26.4,x,x,66430,11954000
Argentina,1980,16,18,97.30247985,96.45921911,x,x,11.56190476,2.280952381,17.9,19.8,27.82380952,99,x,14252000
Argentina,1985,16,18,97.75800751,97.1893424,x,x,11.94285714,2.471428571,20.35454545,22.52727273,30.8,103.2,87332,15417000
Argentina,1986,16,18,97.84911304,97.33536706,x,x,12.01904762,2.50952381,20.84545455,23.07272727,31.6,103.3,91501,15656000
Argentina,1987,16,18,97.94021857,97.48139172,x,x,12.0952381,2.547619048,21.33636364,23.61818182,32.3,103.4,90605,15897000
Argentina,1988,16,18,98.0313241,97.62741638,x,x,12.17142857,2.585714286,21.82727273,24.16363636,33,103.5,93788,16139000
Argentina,1989,16,18,98.12242964,97.77344103,x,x,12.24761905,2.623809524,22.31818182,24.70909091,33.7,103.6,92499,16380000
Argentina,1990,16,18,98.21353517,97.91946569,x,x,12.32380952,2.661904762,22.80909091,25.25454545,34.4,103.7,96404,16617000
Argentina,1991,16,18,98.3046407,98.06549035,x,x,12.4,2.7,23.3,25.8,35.2,103.7,101772,16851000
Argentina,1992,16,18,98.38694388,98.1297311,x,x,12.22,2.82,23.43,25.91,35.5,103.7,100278,17081000
Argentina,1993,16,18,98.46924707,98.19397185,x,x,12.04,2.94,23.56,26.02,36.1,103.8,100162,17308000
Argentina,1994,16,18,98.55155025,98.25821259,53.125,41.5,11.86,3.06,23.69,26.13,36.6,103.8,103137,17533000
Argentina,1995,16,18,98.63385343,98.32245334,54.65,53.36,11.68,3.18,23.82,26.24,37.5,103.9,103688,17756000
Argentina,1996,16,18,98.71615661,98.38669409,56.175,55.35,11.5,3.3,23.95,26.35,37.9,103.9,105709,17979000
Argentina,1997,16,18,98.7984598,98.45093484,57.7,57.34,11.32,3.42,24.08,26.46,38.2,103.9,111898,18200000
Argentina,1998,16,18,98.88076298,98.51517559,59.225,59.33,11.14,3.54,24.21,26.57,38.7,104,107857,18418000
Argentina,1999,16,18,98.96306616,98.57941633,60.75,61.32,10.96,3.66,24.34,26.68,39.4,104.1,105546,18628000
Argentina,2000,16,18,99.04536935,98.64365708,62.275,63.31,10.78,3.78,24.47,26.79,40,104.3,106337,18831000
Argentina,2001,16,18,99.12767253,98.70789783,63.8,65.3,10.6,3.9,24.6,26.9,40.8,104.1,100082,19024000
Argentina,2002,16,18,99.13641328,98.74032305,65.325,68.7,10.85555556,4.133333333,24.6,26.86666667,41.7,104.2,101753,19209000
Argentina,2003,16,18,99.14515402,98.77274826,66.85,72.1,11.11111111,4.366666667,24.6,26.83333333,42.1,104.2,95224,19388000
Argentina,2004,16,18,99.15389477,98.80517348,68.375,75.5,11.36666667,4.6,24.6,26.8,42.4,104.2,106438,19564000
Argentina,2005,16,18,99.16263552,98.8375987,69.9,78.9,11.62222222,4.833333333,24.6,26.76666667,42.9,104.5,107109,19739000
Argentina,2006,16,18,99.17137626,98.87002391,71.425,80.89,11.87777778,5.066666667,24.6,26.73333333,43.3,100,x,19915000
Argentina,2010,16,18,99.20633925,98.99972478,77.525,88.85,12.9,6,24.6,26.6,45.68095238,100,115475.764,20621000
Argentina,2011,16,18,99.21508,99.03215,79.05,90.84,12.9525,6.1025,24.6375,26.605,46.27619048,100,x,x
Armenia,1979,17,17,x,x,x,x,13.6,1.9,21.5,24,46.5,99,x,1561000
Armenia,1985,17,17,98.9697296,98.972424,24.78947368,56.34736842,15.52,2.2,21.32,24.12,47.1,104.5,7984,1706000
Armenia,1986,17,17,99,99,24.85789474,56.28947368,15.84,2.25,21.29,24.14,47.1,104.2666667,7786,1737000
Armenia,1987,17,17,99,99,24.92631579,56.23157895,16.16,2.3,21.26,24.16,47.2,104.0333333,7560,1769000
Armenia,1988,17,17,99,99,24.99473684,56.17368421,16.48,2.35,21.23,24.18,47.3,103.8,8159,1799000
Armenia,1989,17,17,99.90996264,99.90936706,25.06315789,56.11578947,16.8,2.4,21.2,24.2,47.5,104.9,8530,1819000
Armenia,1990,17,17,99.90593821,99.8962819,25.13157895,56.05789474,16.05833333,2.266666667,21.38333333,24.46666667,47.7,106.2,10018,1825000
Armenia,1991,17,17,99.90191377,99.88319674,25.2,56,15.31666667,2.133333333,21.56666667,24.73333333,47.5,107.1,11283,1815000
Armenia,1992,17,17,99.89788934,99.87011157,24.66666667,56.5,14.575,2,21.75,25,47.3,108,12447,1790000
Armenia,1993,17,17,99.8938649,99.85702641,24.13333333,57,13.83333333,1.866666667,21.93333333,25.26666667,47.1,108.9,11832,1756000
Armenia,1994,17,17,99.88984047,99.84394125,23.6,57.5,13.09166667,1.733333333,22.11666667,25.53333333,46.9,109.8,10637,1723000
Armenia,1995,17,17,99.88581603,99.83085609,23.06666667,58,12.35,1.6,22.3,25.8,46.8,110.7,8964,1695000
Armenia,1996,17,17,99.8817916,99.81777092,22.53333333,58.5,11.60833333,1.466666667,22.48333333,26.06666667,46.7,111.08,8694,1675000
Armenia,1997,17,17,99.87776716,99.80468576,22,59,10.86666667,1.333333333,22.66666667,26.33333333,46.5,111.46,7257,1662000
Armenia,1998,17,17,99.87374273,99.7916006,21.46666667,59.5,10.125,1.2,22.85,26.6,47,111.84,5917,1653000
Armenia,1999,17,17,99.86971829,99.77851543,20.93333333,60,9.383333333,1.066666667,23.03333333,26.86666667,47.3,112.22,5243,1643000
Armenia,2000,17,17,99.86569386,99.76543027,20.4,60.5,8.641666667,0.933333333,23.21666667,27.13333333,47.8,112.6,4937,1631000
Armenia,2001,17,17,99.86166942,99.75234511,20.14,59.02,7.9,0.8,23.4,27.4,48.2,108.3,x,1615000
Armenia,2002,17,17,99.85117848,99.7460506,19.88,57.54,7.7,0.6,23.375,27.275,48.7,108.1,4401,1597000
Armenia,2003,17,17,99.84068754,99.73975609,19.62,56.06,7.5,0.4,23.35,27.15,49.1,107.8,4652,1578000
Armenia,2004,17,17,99.83019659,99.73346158,19.36,54.58,7.3,0.2,23.325,27.025,49,107.5,4717,1558000
Armenia,2005,17,17,99.81970565,99.72716707,19.1,53.1,7.1,0,23.3,26.9,49.1,114.5,4264.839,1536000
Armenia,2006,17,17,99.80921471,99.72087256,20.58,53.46,7.36,0.2,23.52,27.08,49.2,100,x,1514000
Armenia,2010,17,17,99.76725094,99.69569451,26.5,54.9,8.4,1,24.4,27.8,49.6,100,4000.948,1440000
Armenia,2011,17,17,99.75676,99.6894,26.56842105,54.84210526,8.232258065,0.970967742,24.49354839,27.92258065,49.7,100,x,x
Australia,1971,18,18,99,99,x,x,8.8,1.4,21.5,24.4,x,x,x,6540000
Australia,1985,18,18,99,99,72.41578947,76.3,2.826666667,0.653333333,24.58,26.92,38.3,100.5,14556,7906000
Australia,1986,18,18,99,99,72.2,76.1,2.4,0.6,24.8,27.1,39.2,100.2,14326,8035000
Australia,1987,18,18,99,99,71.27777778,75.05555556,2.3,0.6,25.09,27.38,39.7,100.3,13984,8172000
Australia,1988,18,18,99,99,70.35555556,74.01111111,2.2,0.6,25.38,27.66,40.3,100.4,13961,8310000
Australia,1989,18,18,99,99,69.43333333,72.96666667,2.1,0.6,25.67,27.94,40.8,100.5,14259,8445000
Australia,1990,18,18,99,99,68.51111111,71.92222222,2,0.6,25.96,28.22,41.3,100.3,15107,8571000
Australia,1991,18,18,99,99,67.58888889,70.87777778,1.9,0.6,26.25,28.5,41.5,100.6,14717,8687000
Australia,1992,18,18,99,99,66.66666667,69.83333333,1.8,0.6,26.54,28.78,41.6,100.7,14154,8794000
Australia,1993,18,18,99,99,65.74444444,68.78888889,1.7,0.6,26.83,29.06,41.7,100.8,13175,8896000
Australia,1994,18,18,99,99,64.82222222,67.74444444,1.6,0.6,27.12,29.34,42.1,100.9,12853,8999000
Australia,1995,18,18,99,99,63.9,66.7,1.5,0.6,27.41,29.62,42.7,100.9,12631,9106000
Australia,1996,18,18,99,99,64.88571429,67.28571429,1.4,0.6,27.7,29.9,42.8,101,12509,9220000
Australia,1997,18,18,99,99,65.87142857,67.87142857,1.32,0.56,27.94,30.12,42.9,101.2,12309,9339000
Australia,1998,18,18,99,99,66.85714286,68.45714286,1.24,0.52,28.18,30.34,43.3,101.3,11849,9461000
Australia,1999,18,18,99,99,67.84285714,69.04285714,1.16,0.48,28.42,30.56,43.3,101.4,11751,9583000
Australia,2000,18,18,99,99,68.82857143,69.62857143,1.08,0.44,28.66,30.78,44,101.5,11474,9703000
Australia,2001,18,18,99,99,69.81428571,70.21428571,1,0.4,28.9,31,44.2,101.6,11704,9819000
Australia,2002,18,18,99,99,70.8,70.8,0.96,0.4,29.06,31.12,44.3,101.4,11505,9934000
Australia,2003,18,18,99,99,69.9,71.3,0.92,0.4,29.22,31.24,44.5,101.4,10811,10052000
Australia,2004,18,18,99,99,69,71.8,0.88,0.4,29.38,31.36,44.8,101.3,10857,10183000
Australia,2005,18,18,99,99,68.1,72.3,0.84,0.4,29.54,31.48,45,101.1,10744,10331000
Australia,2006,18,18,99,99,67.88421053,72.1,0.8,0.4,29.7,31.6,45.2,100,x,10500000
Austria,1971,16,16,99,99,x,x,7,0.6,21.9,26,x,x,x,3976000
Austria,1981,16,16,99,99,x,x,4.2,0.5,23.5,26.9,38.35238095,99,x,3983000
Austria,1985,16,16,99,99,x,x,3.6,0.54,24.54,27.7,39.4,110.6,7507,3981000
Austria,1986,16,16,99,99,x,x,3.45,0.55,24.8,27.9,39.5,110.4,7055,3981000
Austria,1987,16,16,99,99,x,x,3.3,0.56,25.06,28.1,39.9,110.1,6392,3980000
Austria,1988,16,16,99,99,x,x,3.15,0.57,25.32,28.3,40.3,109.8,6116,3981000
Austria,1989,16,16,99,99,42.23072103,46.33072103,3,0.58,25.58,28.5,40.4,109.4,5653,3988000
Austria,1990,16,16,99,99,42.88347517,46.98347517,2.85,0.59,25.84,28.7,40.8,108.3,5379,4002000
Austria,1991,16,16,99,99,43.53622931,47.63622931,2.7,0.6,26.1,28.9,40.9,108.4,5596,4024000
Austria,1992,16,16,99,99,44.18898345,48.28898345,2.72,0.61,26.15,28.96,41.4,108,5488,4053000
Austria,1993,16,16,99,99,44.84173758,48.94173758,2.74,0.62,26.2,29.02,41.6,107.7,5191,4085000
Austria,1994,16,16,99,99,45.49449172,49.59449172,2.76,0.63,26.25,29.08,42.8,107.4,4292,4112000
Austria,1995,16,16,99,99,46.14724586,50.24724586,2.78,0.64,26.3,29.14,42.7,106.2,3894,4132000
Austria,1996,16,16,99,99,46.8,50.9,2.8,0.65,26.35,29.2,42.7,107.2,3507,4142000
Austria,1997,16,16,99,99,47.45275414,51.55275414,2.82,0.66,26.4,29.26,42.9,107.2,3367,4143000
Austria,1998,16,16,99,99,48.10550828,52.20550828,2.84,0.67,26.45,29.32,42.9,107.1,3275,4140000
Austria,1999,16,16,99,99,48.75826242,52.85826242,2.86,0.68,26.5,29.38,43,106.9,3105,4138000
Austria,2000,16,16,99,99,49.41101655,53.51101655,2.88,0.69,26.55,29.44,43.1,105.1,x,4143000
Austria,2001,16,16,99,99,50.06377069,54.16377069,2.9,0.7,26.6,29.5,43.4,106.5,3254,4155000
Austria,2002,16,16,99,99,50.71652483,54.81652483,2.61,0.63,27.04,29.91,43.9,106.3,3256,4173000
Austria,2003,16,16,99,99,51.36927897,55.46927897,2.32,0.56,27.48,30.32,44,106.1,3106,4194000
Austria,2004,16,16,99,99,x,x,2.03,0.49,27.92,30.73,44.3,106,3251,4216000
Austria,2005,16,16,99,99,x,x,1.74,0.42,28.36,31.14,44.6,104.2,3062,4235000
Austria,2006,16,16,99,99,x,x,1.45,0.35,28.8,31.55,44.9,100,x,4253000
Austria,2011,16,16,99,99,x,x,0,0,31,33.6,46.20952381,100,x,x
Azerbaijan,1979,17,18,x,x,x,x,6.9,1.1,22.4,25.1,46.87142857,99,x,3109000
Azerbaijan,1985,17,18,x,x,x,x,7.32,1.16,23.24,25.52,47.1,105.4,6803,3420000
Azerbaijan,1986,17,18,x,x,x,x,7.39,1.17,23.38,25.59,47.1,105.325,7032,3472000
Azerbaijan,1987,17,18,98.3452239,98.33761053,x,x,7.46,1.18,23.52,25.66,47.2,105.25,6899,3523000
Azerbaijan,1988,17,18,98.4179768,98.41120936,x,x,7.53,1.19,23.66,25.73,47.4,105.175,8722,3574000
Azerbaijan,1989,17,18,98.4907297,98.48480819,x,x,7.6,1.2,23.8,25.8,47.4,105.1,9172,3626000
Azerbaijan,1990,17,18,98.5634826,98.55840702,x,x,8.12,1.33,23.81,25.92,47.4,104.4,8675,3681000
Azerbaijan,1991,17,18,98.6362355,98.63200585,x,x,8.64,1.46,23.82,26.04,46.7,104.225,9913,3740000
Azerbaijan,1992,17,18,98.7089884,98.70560468,x,x,9.16,1.59,23.83,26.16,46.4,104.05,11386,3800000
Azerbaijan,1993,17,18,98.7817413,98.77920351,18.83333333,59.76666667,9.68,1.72,23.84,26.28,46,103.875,12535,3860000
Azerbaijan,1994,17,18,98.8544942,98.85280234,18.4,59.1,10.2,1.85,23.85,26.4,45.6,103.7,13448,3917000
Azerbaijan,1995,17,18,98.9272471,98.92640117,17.96666667,58.43333333,10.72,1.98,23.86,26.52,45.4,104.2,13368,3967000
Azerbaijan,1996,17,18,99,99,17.53333333,57.76666667,11.24,2.11,23.87,26.64,45.6,103,12329,4011000
Azerbaijan,1997,17,18,99,99,17.1,57.1,11.76,2.24,23.88,26.76,45.8,102.8,14483,4050000
Azerbaijan,1998,17,18,99,99,16.66666667,56.43333333,12.28,2.37,23.89,26.88,46.1,103.8,13241,4084000
Azerbaijan,1999,17,18,99.9014917,99.87033569,16.23333333,55.76666667,12.8,2.5,23.9,27,46.3,104.7,12141,4117000
Azerbaijan,2000,17,18,99.9059213,99.8789806,15.8,55.1,12.52857143,2.171428571,23.78571429,26.95714286,46.7,104.9,11407,4151000
Azerbaijan,2001,17,18,99.9103509,99.88762551,11.9,55.4,12.25714286,1.842857143,23.67142857,26.91428571,47,104.2,10741,4187000
Azerbaijan,2002,17,18,99.9147805,99.89627042,12.16,54.54,11.98571429,1.514285714,23.55714286,26.87142857,47.2,104,11076,4224000
Azerbaijan,2003,17,18,99.9192101,99.90491533,12.42,53.68,11.71428571,1.185714286,23.44285714,26.82857143,47.5,103.8,11993,4262000
Azerbaijan,2004,17,18,99.9236397,99.91356024,12.68,52.82,11.44285714,0.857142857,23.32857143,26.78571429,47.5,103.5,13739,4303000
Azerbaijan,2005,17,18,99.9280693,99.92220515,12.94,51.96,11.17142857,0.528571429,23.21428571,26.74285714,47.7,105.7,x,4345000
Azerbaijan,2006,17,18,99.9324989,99.93085006,13.2,51.1,10.9,0.2,23.1,26.7,47.9,100,x,4390000
Azerbaijan,2007,17,18,99.9369285,99.93949497,12.76666667,50.43333333,10.03333333,0.233333333,23.53333333,27.2,47.93809524,100,x,4437000
Azerbaijan,2009,17,18,99.9457877,99.95678479,11.9,49.1,8.3,0.3,24.4,28.2,48.01428571,100,x,4535000
Bahamas,1970,18,18,x,x,x,x,10.1,1.3,22.4,26,x,x,x,85000
Bahamas,1980,18,18,x,x,x,x,4.6,0.5,24.8,27.3,43.03333333,99,x,106000
Bahamas,1985,18,18,x,x,58.14173758,59.74173758,4.15,0.7,26,28.2,44.2,101.6,918.476,118000
Bahamas,1986,18,18,x,x,58.79449172,60.39449172,4.06,0.74,26.24,28.38,44.9,101.62,x,120000
Bahamas,1987,18,18,x,x,59.44724586,61.04724586,3.97,0.78,26.48,28.56,44.5,101.64,x,123000
Bahamas,1988,18,18,x,x,60.1,61.7,3.88,0.82,26.72,28.74,45.1,101.66,x,125000
Bahamas,1989,18,18,x,x,60.75275414,62.35275414,3.79,0.86,26.96,28.92,44.4,101.68,x,127000
Bahamas,1990,18,18,x,x,61.40550828,63.00550828,3.7,0.9,27.2,29.1,45,101.7,x,129000
Bahamas,1991,18,18,86.37847757,84.57847757,62.05826242,63.65826242,3.64,0.86,27.22,29.18,45.5,104.5,x,132000
Bahamas,1992,18,18,87.22193777,85.42193777,62.71101655,64.31101655,3.58,0.82,27.24,29.26,46,104.9,x,134000
