Country or Area,Year,Value
Cameroon,2000,100.8
Cameroon,1995,101
Cameroon,1990,101.2
Cameroon,1986,100.4
Cameroon,1985,100.1
Cameroon,1985,101.5
Canada,2005,101.9
Canada,2004,101.9
Canada,2003,101.9
Canada,2002,101.9
Canada,2001,104
Canada,2001,101.9
Canada,2000,101.9
Canada,2000,101.9
Canada,1999,102
Canada,1998,102
Canada,1997,102.1
Canada,1996,103.6
Canada,1996,102.1
Canada,1995,102
Canada,1995,102
Canada,1994,102
Canada,1993,101.9
Canada,1992,101.8
Canada,1991,102.9
Canada,1991,101.7
Canada,1990,101.7
Canada,1990,101.7
Canada,1989,101.7
Canada,1988,101.6
Canada,1987,101.6
Canada,1986,102.7
Canada,1986,101.5
Canada,1985,101.4
Canada,1985,101.4
Cape Verde,2005,108.4
Cape Verde,2003,106.5
Cape Verde,2002,106.5
Cape Verde,2001,106.6
Cape Verde,2000,106.6
Cape Verde,2000,109.8
Cape Verde,1999,109.5
Cape Verde,1998,109.7
Cape Verde,1997,109.9
Cape Verde,1996,110.2
Cape Verde,1995,110.4
Cape Verde,1995,111.4
Cape Verde,1990,111.5
Cape Verde,1990,113.3
Cape Verde,1987,113.8
Cape Verde,1986,114.4
Cape Verde,1985,114.8
Cape Verde,1985,115.4
Cayman Islands,2004,108.3
Cayman Islands,1999,104.4
Cayman Islands,1999,105
Cayman Islands,1989,104.9
Central African Republic,2005,105.2
Central African Republic,2003,100.8
Central African Republic,2000,105.8
Central African Republic,1995,106.1
Central African Republic,1990,106.6
Central African Republic,1988,103.5
Central African Republic,1985,107.2
Chad,2005,101.3
Chad,2000,101.6
Chad,1995,102
Chad,1994,107.1
Chad,1993,107.9
Chad,1992,107.7
Chad,1991,107.9
Chad,1990,107.9
Chad,1990,102.4
Chad,1989,107.9
Chad,1985,102.8
Channel Islands,2005,104.5
Channel Islands,2000,105
Channel Islands,1996,106.5
Channel Islands,1995,106.4
Channel Islands,1991,106.7
Channel Islands,1990,106.7
Channel Islands,1986,106.8
Channel Islands,1985,107
Chile,2005,102.1
Chile,2004,102
Chile,2003,102
Chile,2002,103
Chile,2002,102
Chile,2001,102.1
Chile,2000,102.1
Chile,2000,102.1
Chile,1999,102.1
Chile,1998,102.1
Chile,1997,102.1
Chile,1996,102.1
Chile,1995,102.1
Chile,1995,102.1
Chile,1994,102.2
Chile,1993,102.2
Chile,1992,103.7
Chile,1992,102.3
Chile,1991,102.3
Chile,1990,102.4
Chile,1990,102.4
Chile,1985,102.6
China,2005,93.6
China,2004,94.1
China,2003,94.2
China,2002,94.3
China,2001,94
China,2000,94.1
China,2000,94.1
China,2000,93.6
China,1999,94.8
China,1998,95.5
China,1997,96.3
China,1996,96.4
China,1995,95.8
China,1995,93.6
China,1994,95.8
China,1993,95.9
China,1992,95.3
China,1991,94.4
China,1990,94
China,1990,93.7
China,1989,94
China,1988,94.1
China,1987,93.8
China,1986,93.4
China,1985,93.6
China,1985,93.8
Christmas Island,1985,49.7
Cocos (Keeling) Islands,1985,101.3
Colombia,2005,103.1
Colombia,2000,102.8
Colombia,1995,102.4
Colombia,1993,103.2
Colombia,1990,101.7
Colombia,1985,102.1
Colombia,1985,101.3
Comoros,2005,99.3
Comoros,2000,99.5
Comoros,1995,99.7
Comoros,1991,102
Comoros,1990,100
Comoros,1986,97.5
Comoros,1985,100.2
Congo,2005,101.8
Congo,2001,105.3
Congo,2000,105.3
Congo,2000,102.3
Congo,1999,105.3
Congo,1998,105.3
Congo,1997,105.3
Congo,1995,102.5
Congo,1990,102.5
Congo,1985,102.7
Congo Dem. Rep.,2005,102.1
Congo Dem. Rep.,2000,102.5
Congo Dem. Rep.,1995,102.7
Congo Dem. Rep.,1990,103
Congo Dem. Rep.,1988,104.1
Congo Dem. Rep.,1987,104.1
Congo Dem. Rep.,1986,104.1
Congo Dem. Rep.,1985,103.5
Cook Islands,2001,93.7
Cook Islands,1996,94.1
Cook Islands,1986,91.7
Costa Rica,2005,96.7
Costa Rica,2004,102.6
Costa Rica,2003,102.7
Costa Rica,2002,101.5
Costa Rica,2001,101.9
Costa Rica,2000,100.3
Costa Rica,2000,101.5
Costa Rica,2000,96.7
Costa Rica,1999,102.1
Costa Rica,1998,100.9
Costa Rica,1997,100.6
Costa Rica,1996,99.6
Costa Rica,1995,99.3
Costa Rica,1995,96.6
Costa Rica,1994,99.4
Costa Rica,1993,100.6
Costa Rica,1992,101.9
Costa Rica,1991,102.5
Costa Rica,1990,100.9
Costa Rica,1990,96.5
Costa Rica,1989,101
Costa Rica,1988,99.2
Costa Rica,1987,98.9
Costa Rica,1986,101.6
Costa Rica,1985,101.8
Costa Rica,1985,96.4
C̫te d�۪Ivoire,2005,96.8
C̫te d�۪Ivoire,2004,96
C̫te d�۪Ivoire,2003,96
C̫te d�۪Ivoire,2002,95.9
C̫te d�۪Ivoire,2001,95.9
C̫te d�۪Ivoire,2000,95.9
C̫te d�۪Ivoire,2000,95.7
C̫te d�۪Ivoire,1999,95.9
C̫te d�۪Ivoire,1998,95.9
C̫te d�۪Ivoire,1996,96.5
C̫te d�۪Ivoire,1995,96.4
C̫te d�۪Ivoire,1995,94.6
C̫te d�۪Ivoire,1994,96.2
C̫te d�۪Ivoire,1993,96.1
C̫te d�۪Ivoire,1992,96
C̫te d�۪Ivoire,1991,95.9
C̫te d�۪Ivoire,1990,95.8
C̫te d�۪Ivoire,1990,93.4
C̫te d�۪Ivoire,1989,95.7
C̫te d�۪Ivoire,1988,95.7
C̫te d�۪Ivoire,1988,95.7
C̫te d�۪Ivoire,1985,92.9
Croatia,2005,107.8
Croatia,2004,107.7
Croatia,2003,107.8
Croatia,2002,107.8
Croatia,2001,107.8
Croatia,2000,108.1
Croatia,2000,107.7
Croatia,1999,108.1
Croatia,1998,108.1
Croatia,1997,108.1
Croatia,1996,108.1
Croatia,1995,108.1
Croatia,1995,107.5
Croatia,1994,108.1
Croatia,1993,108.1
Croatia,1992,108.1
Croatia,1991,108.1
Croatia,1991,108.1
Croatia,1990,106.4
Croatia,1990,106.7
Croatia,1989,106.4
Croatia,1985,106.6
Cuba,2005,99.8
Cuba,2004,99.7
Cuba,2003,99.7
Cuba,2002,99.7
Cuba,2002,99.7
Cuba,2001,99.7
Cuba,2000,100.6
Cuba,2000,100
Cuba,1999,101.4
Cuba,1995,99.1
Cuba,1990,98.7
Cuba,1985,98.5
Cyprus,2005,105.5
Cyprus,2004,103.1
Cyprus,2003,103.7
Cyprus,2002,104
Cyprus,2001,103.7
Cyprus,2001,103.7
Cyprus,2000,103.4
Cyprus,2000,103.1
Cyprus,1999,103.2
Cyprus,1998,102.9
Cyprus,1997,102.6
Cyprus,1996,102.2
Cyprus,1995,101.9
Cyprus,1995,100.3
Cyprus,1994,101.5
Cyprus,1993,100.9
Cyprus,1992,100.9
Cyprus,1992,100.8
Cyprus,1991,100.8
Cyprus,1990,100.6
Cyprus,1990,100.6
Cyprus,1989,100.5
Cyprus,1988,100.6
Cyprus,1987,100.5
Cyprus,1986,100.7
Cyprus,1985,100.8
Cyprus,1985,101
Czech Republic,2005,105.1
Czech Republic,2004,105.3
Czech Republic,2003,105.3
Czech Republic,2002,105.5
Czech Republic,2001,105.3
Czech Republic,2001,105.3
Czech Republic,2000,105.5
Czech Republic,2000,105.5
Czech Republic,1999,105.5
Czech Republic,1998,105.6
Czech Republic,1997,105.6
Czech Republic,1996,105.7
Czech Republic,1995,105.8
Czech Republic,1995,105.7
Czech Republic,1994,105.8
Czech Republic,1993,105.9
Czech Republic,1992,106
Czech Republic,1991,106
Czech Republic,1991,106
Czech Republic,1990,105.8
Czech Republic,1990,106
Czech Republic,1989,105.8
Czech Republic,1988,105.9
Czech Republic,1987,105.9
Czech Republic,1986,106
Czech Republic,1985,106.1
Czech Republic,1985,106.2
Czechoslovakia (former),1991,105.7
Czechoslovakia (former),1990,105.3
Czechoslovakia (former),1989,105.3
Czechoslovakia (former),1988,105.3
Czechoslovakia (former),1987,105.3
Czechoslovakia (former),1986,105.3
Czechoslovakia (former),1985,105.3
Democratic Yemen (former),1995,98
Democratic Yemen (former),1994,98
Democratic Yemen (former),1993,98
Democratic Yemen (former),1992,98
Democratic Yemen (former),1991,98
Democratic Yemen (former),1990,102.1
Democratic Yemen (former),1989,102
Democratic Yemen (former),1988,98
Democratic Yemen (former),1988,102
Democratic Yemen (former),1987,102.1
Democratic Yemen (former),1986,102
Democratic Yemen (former),1985,102.1
Denmark,2005,102.1
Denmark,2004,102.1
Denmark,2003,102.2
Denmark,2002,102.2
Denmark,2001,102.3
Denmark,2001,102.3
Denmark,2000,102.3
Denmark,2000,102.3
Denmark,1999,102.4
Denmark,1998,102.4
Denmark,1997,102.5
Denmark,1996,102.5
Denmark,1995,102.6
Denmark,1995,102.6
Denmark,1994,102.7
Denmark,1993,102.8
Denmark,1992,102.8
Denmark,1991,102.9
Denmark,1991,102.9
Denmark,1990,102.9
Denmark,1990,102.9
Denmark,1989,102.9
Denmark,1988,102.9
Denmark,1987,102.9
Denmark,1986,102.9
Denmark,1985,103
Denmark,1985,103
Djibouti,2005,100.2
Djibouti,2000,100.3
Djibouti,1995,100.4
Djibouti,1990,100.6
Djibouti,1985,100.8
Dominica,2002,98.4
Dominica,2001,98.5
Dominica,2001,101.2
Dominica,2000,100.2
Dominica,1999,96.4
Dominica,1998,96.4
Dominica,1997,95.6
Dominica,1996,94.7
Dominica,1995,94.1
Dominica,1994,95.6
Dominica,1993,97.5
Dominica,1992,99.1
Dominica,1991,99.8
Dominica,1991,100.8
Dominica,1990,100.8
Dominican Republic,2005,99.3
Dominican Republic,2002,100.8
Dominican Republic,2000,98.8
Dominican Republic,1995,98.4
Dominican Republic,1993,105.4
Dominican Republic,1990,98
Dominican Republic,1985,97.7
Ecuador,2005,99.4
Ecuador,2004,99.3
Ecuador,2003,99.3
Ecuador,2002,99.2
Ecuador,2001,102
Ecuador,2001,99.2
Ecuador,2000,99.1
Ecuador,2000,99.2
Ecuador,1999,99.1
Ecuador,1998,99.1
Ecuador,1997,99
Ecuador,1996,99
Ecuador,1995,99
Ecuador,1995,99
Ecuador,1994,99
Ecuador,1992,99
Ecuador,1990,101.2
Ecuador,1990,98.9
Ecuador,1990,98.9
Ecuador,1985,98.8
Egypt,2005,99.7
Egypt,2001,94.6
Egypt,2000,99.3
Egypt,1999,95.4
Egypt,1998,95.5
Egypt,1997,95.5
Egypt,1996,95.4
Egypt,1996,95.4
Egypt,1995,95.4
Egypt,1995,99
Egypt,1994,95.1
Egypt,1993,95.2
Egypt,1992,95.3
Egypt,1991,95.5
Egypt,1990,98.6
Egypt,1986,95.3
Egypt,1985,98.7
