Mongolia,1998,18,18,x,x,45.7,59.9,x,x,x,x,3708.0
Mongolia,1999,18,18,x,x,x,x,x,x,x,x,3995.0
Mongolia,2000,18,18,97.5,98,54.4,67.4,5.6,1.3,23.7,25.7,3666.0
Mongolia,2001,18,18,x,x,x,x,x,x,x,x,4046.0
Mongolia,2002,18,18,x,x,x,x,x,x,x,x,3068.0
Mongolia,2003,18,18,x,x,58.4,69,x,x,x,x,2680.0
Mongolia,2004,18,18,x,x,x,x,x,x,x,x,2761.0
Mongolia,2005,18,18,x,x,60.6,66,x,x,x,x,2262.0
Mongolia,2008,x,x,x,x,49.6,55.2,x,x,x,x,x
Mongolia,2010,x,x,x,x,x,x,3.6,1.2,24.2,26.2,x
Montenegro,1970,x,x,x,x,7,49.5,x,x,x,x,x
Montenegro,1990,x,x,x,x,x,x,x,x,x,x,666.0
Montenegro,2000,x,x,x,x,30,52.7,x,x,x,x,543.0
Montenegro,2003,x,x,x,x,x,x,4.7,0.7,26.2,30.7,429.0
Montenegro,2004,x,x,x,x,x,x,x,x,x,x,396.0
Montenegro,2005,x,x,x,x,x,x,x,x,x,x,376.0
Montenegro,2006,x,x,x,x,17.2,39.4,x,x,x,x,x
Montserrat,1960,x,x,x,x,x,x,0.9,0.8,29.3,34.5,x
Montserrat,1980,x,x,x,x,x,x,0.3,0.5,28.5,31.1,x
Montserrat,1984,x,x,x,x,52.2,52.6,x,x,x,x,x
Montserrat,1985,x,x,x,x,x,x,x,x,x,x,68.0
Montserrat,1986,x,x,x,x,x,x,x,x,x,x,51.0
Montserrat,1994,x,x,x,x,x,x,x,x,x,x,15.0
Montserrat,1995,x,x,x,x,x,x,x,x,x,x,19.0
Montserrat,1996,x,x,x,x,x,x,x,x,x,x,9.0
Montserrat,1997,x,x,x,x,x,x,x,x,x,x,20.0
Montserrat,1998,x,x,x,x,x,x,x,x,x,x,4.0
Montserrat,1999,x,x,x,x,x,x,x,x,x,x,7.0
Morocco,1971,x,x,x,x,x,x,33.8,4.1,19.1,25,x
Morocco,1980,x,x,x,x,16.4,19.4,x,x,x,x,x
Morocco,1982,x,x,x,x,x,x,18.5,2.1,22.2,27.1,x
Morocco,1984,x,x,x,x,21.2,25.5,x,x,x,x,x
Morocco,1987,x,x,x,x,28.9,35.9,x,x,x,x,x
Morocco,1990,18,18,x,x,x,x,x,x,x,x,31012.0
Morocco,1991,18,18,x,x,x,x,x,x,x,x,34742.0
Morocco,1992,x,x,x,x,35.5,41.5,x,x,x,x,x
Morocco,1993,18,18,x,x,x,x,x,x,x,x,49847.0
Morocco,1994,x,x,28.7,55.2,x,x,12.8,1.1,25.3,29.8,x
Morocco,1995,18,18,x,x,42.4,50.3,x,x,x,x,37211.0
Morocco,1996,18,18,x,x,x,x,x,x,x,x,48372.0
Morocco,1997,18,18,x,x,48.8,58.4,x,x,x,x,50632.0
Morocco,1998,18,18,x,x,x,x,x,x,x,x,50083.0
Morocco,1999,18,18,x,x,x,x,x,x,x,x,48561.0
Morocco,2000,18,18,x,x,x,x,x,x,x,x,47467.0
Morocco,2001,18,18,x,x,x,x,x,x,x,x,46065.0
Morocco,2003,18,18,x,x,x,x,11.1,x,26.4,x,x
Morocco,2004,x,x,39.6,65.7,52,63,11.1,0.8,26.4,31.2,x
Mozambique,1970,x,x,x,x,x,x,30.8,4,19.9,24.7,x
Mozambique,1980,x,x,x,x,x,x,52.4,8.4,17.8,22.6,x
Mozambique,1997,x,x,25,54.8,5.1,5.6,47.1,3.8,18,22.6,x
Mozambique,2003,x,x,x,x,x,x,43.3,x,18.7,x,x
Mozambique,2004,x,x,x,x,11.8,16.5,x,x,x,x,x
Mozambique,2007,14,16,x,x,x,x,44.8,8.4,18.9,23.3,x
Mozambique,2008,x,x,x,x,12.2,16.2,x,x,x,x,x
Mozambique,2011,x,x,x,x,11.3,11.6,x,x,x,x,x
Myanmar,1973,x,x,x,x,x,x,22,7.8,21.3,23.9,x
Myanmar,1983,x,x,x,x,x,x,16.9,6.7,22.4,24.6,x
Myanmar,1991,x,x,x,x,13.6,16.8,10.7,3.3,24.5,26.4,x
Myanmar,1997,x,x,x,x,28.3,32.7,x,x,x,x,x
Myanmar,2000,x,x,86.4,93.9,x,x,x,x,x,x,x
Myanmar,2001,x,x,x,x,32.8,37,8.4,x,25.8,x,x
Myanmar,2003,18,18,x,x,x,x,x,x,x,x,x
Myanmar,2007,x,x,x,x,38.4,41,7.2,4,26.1,27.6,x
Myanmar,2010,x,x,x,x,45.7,46,x,x,x,x,x
Namibia,1960,x,x,x,x,x,x,11.2,0.9,21.8,27.8,x
Namibia,1989,x,x,x,x,32.1,40.9,x,x,x,x,x
Namibia,1991,x,x,74,77.8,x,x,6.7,1.1,27.3,31.1,x
Namibia,1992,x,x,x,x,26,28.9,x,x,x,x,x
Namibia,2000,x,x,x,x,42.6,43.7,6.1,2.6,27.5,30.1,x
Namibia,2001,x,x,83.5,86.8,x,x,5.7,0.8,28.9,32.2,x
Namibia,2003,21,21,x,x,x,x,x,x,x,x,x
Namibia,2006,x,x,x,x,x,x,5.4,0.4,28.3,30.2,x
Namibia,2007,x,x,x,x,53.5,55.1,x,x,x,x,x
Nauru,2007,x,x,x,x,23,35.6,20.1,x,20.2,x,x
Nepal,1971,x,x,x,x,x,x,60.7,27,17.5,21.1,x
Nepal,1976,x,x,x,x,2.4,2.4,x,x,x,x,x
Nepal,1981,x,x,x,x,6.8,6.8,50.8,25.9,17.9,21.5,x
Nepal,1986,x,x,x,x,15.1,15.1,x,x,x,x,x
Nepal,1991,x,x,17.4,49.2,24.1,24.1,46.6,20,18.5,21.7,x
Nepal,1996,x,x,x,x,26,28.5,x,x,x,x,x
Nepal,2000,x,x,x,x,37.1,37.3,x,x,x,x,x
Nepal,2001,x,x,34.9,62.7,35.4,39.3,33.7,12,19.6,23,x
Nepal,2003,20,20,x,x,x,x,x,x,x,x,x
Nepal,2004,x,x,x,x,37.9,38.3,x,x,x,x,x
Nepal,2006,x,x,x,x,44.2,48,x,x,x,x,x
Nepal,2011,x,x,x,x,43.2,49.7,28.9,7,19.9,23.7,x
Netherlands,1969,x,x,x,x,41.6,59,x,x,x,x,x
Netherlands,1970,x,x,x,x,x,x,4.9,0.7,22,25.2,x
Netherlands,1975,x,x,x,x,69.1,75,x,x,x,x,x
Netherlands,1977,x,x,x,x,65.2,73,x,x,x,x,x
Netherlands,1982,x,x,x,x,73.9,76.9,x,x,x,x,x
Netherlands,1985,18,18,x,x,x,x,1.4,0.1,25.2,27.9,4116.0
Netherlands,1986,18,18,x,x,x,x,x,x,x,x,4051.0
Netherlands,1987,18,18,x,x,x,x,x,x,x,x,3985.0
Netherlands,1988,18,18,x,x,72,76.2,x,x,x,x,4187.0
Netherlands,1989,18,18,x,x,x,x,x,x,x,x,4243.0
Netherlands,1990,18,18,x,x,x,x,x,x,x,x,4377.0
Netherlands,1991,18,18,x,x,x,x,x,x,x,x,4131.0
Netherlands,1992,18,18,x,x,x,x,x,x,x,x,3682.0
Netherlands,1993,18,18,x,x,75.6,78.5,x,x,x,x,3347.0
Netherlands,1994,18,18,x,x,x,x,x,x,x,x,3139.0
Netherlands,1995,18,18,x,x,x,x,1.1,0.1,28.2,30.8,2635.0
Netherlands,1996,18,18,x,x,x,x,x,x,x,x,2511.0
Netherlands,1998,18,18,x,x,70,71,x,x,x,x,2832.0
Netherlands,2000,18,18,x,x,x,x,x,x,x,x,2503.0
Netherlands,2001,18,18,x,x,x,x,x,x,x,x,2686.0
Netherlands,2002,18,18,x,x,x,x,x,x,x,x,2649.0
Netherlands,2003,18,18,x,x,65,67,x,x,x,x,2484.0
Netherlands,2004,18,18,x,x,x,x,x,x,x,x,2182.0
Netherlands,2005,18,18,x,x,x,x,0.5,0.1,30.5,33,2023.0
Netherlands,2008,x,x,x,x,67,69,x,x,x,x,x
Netherlands,2011,x,x,x,x,x,x,0.2,0,31.5,33.9,x
Netherlands Antilles,1981,x,x,x,x,x,x,1.9,0.1,26.5,28.7,x
Netherlands Antilles,1992,x,x,95,95.2,x,x,1.6,0.5,29.2,31.7,x
Netherlands Antilles,2001,x,x,x,x,x,x,0.8,0.2,30.2,32.6,x
Netherlands Antilles,2004,x,x,96,96.1,x,x,x,x,x,x,x
New Caledonia,1985,x,x,x,x,x,x,x,x,x,x,438.0
New Caledonia,1987,x,x,x,x,x,x,x,x,x,x,369.0
New Caledonia,1990,x,x,x,x,x,x,x,x,x,x,444.0
New Caledonia,1991,x,x,x,x,x,x,x,x,x,x,432.0
New Caledonia,1992,x,x,x,x,x,x,x,x,x,x,385.0
New Caledonia,1993,x,x,x,x,x,x,x,x,x,x,311.0
New Caledonia,1994,x,x,x,x,x,x,x,x,x,x,292.0
New Caledonia,1995,x,x,x,x,x,x,x,x,x,x,151.0
New Caledonia,1996,x,x,x,x,x,x,1.2,0.1,30.4,32.5,156.0
New Caledonia,1997,x,x,x,x,x,x,x,x,x,x,161.0
New Caledonia,1998,x,x,x,x,x,x,x,x,x,x,145.0
New Caledonia,1999,x,x,x,x,x,x,x,x,x,x,243.0
New Caledonia,2000,x,x,x,x,x,x,x,x,x,x,269.0
New Caledonia,2001,x,x,x,x,x,x,x,x,x,x,246.0
New Caledonia,2002,x,x,x,x,x,x,x,x,x,x,228.0
New Caledonia,2003,x,x,x,x,x,x,x,x,x,x,190.0
New Caledonia,2004,x,x,x,x,x,x,0.5,0.2,31.9,33.7,x
New Caledonia,2005,x,x,x,x,x,x,x,x,x,x,224.0
New Zealand,1976,x,x,x,x,61.5,70.1,10.3,2,21.5,24,x
New Zealand,1985,20,20,x,x,x,x,x,x,x,x,4535.0
New Zealand,1986,20,20,x,x,x,x,5.6,1.9,24.2,26.3,4502.0
New Zealand,1987,20,20,x,x,x,x,x,x,x,x,4801.0
New Zealand,1988,20,20,x,x,x,x,x,x,x,x,4802.0
New Zealand,1989,20,20,x,x,x,x,x,x,x,x,4989.0
New Zealand,1990,20,20,x,x,x,x,x,x,x,x,5037.0
New Zealand,1991,20,20,x,x,x,x,x,x,x,x,4907.0
New Zealand,1992,20,20,x,x,x,x,x,x,x,x,4626.0
New Zealand,1993,20,20,x,x,x,x,x,x,x,x,4386.0
New Zealand,1994,20,20,x,x,x,x,x,x,x,x,4203.0
New Zealand,1995,20,20,x,x,72.3,75,x,x,x,x,4444.0
New Zealand,1996,20,20,x,x,x,x,6.9,3,25.4,27.2,4406.0
New Zealand,1997,20,20,x,x,x,x,x,x,x,x,4401.0
New Zealand,1998,20,20,x,x,x,x,x,x,x,x,3924.0
New Zealand,1999,20,20,x,x,x,x,x,x,x,x,3884.0
New Zealand,2000,20,20,x,x,x,x,x,x,x,x,3818.0
New Zealand,2001,20,20,x,x,x,x,7.6,3.8,25.9,27.6,3773.0
New Zealand,2002,20,20,x,x,x,x,x,x,x,x,3622.0
New Zealand,2003,20,20,x,x,x,x,x,x,x,x,3784.0
New Zealand,2004,20,20,x,x,x,x,x,x,x,x,4044.0
New Zealand,2005,20,20,x,x,x,x,x,x,x,x,4136.0
New Zealand,2006,x,x,x,x,x,x,8.4,4.5,25.6,27,x
Nicaragua,1971,x,x,x,x,x,x,22.2,4,20.2,24.7,x
Nicaragua,1981,x,x,x,x,22.8,27,x,x,x,x,x
Nicaragua,1992,x,x,x,x,x,x,37.4,x,19.8,x,x
Nicaragua,1993,x,x,x,x,44.9,48.7,x,x,x,x,x
Nicaragua,1995,x,x,x,x,x,x,32.2,9.5,20.1,23.7,x
Nicaragua,1998,x,x,x,x,57.4,60.3,x,x,x,x,x
Nicaragua,2001,x,x,76.6,76.8,64.3,68.6,x,x,x,x,x
Nicaragua,2005,x,x,x,x,x,x,28.4,7.8,20.6,24.5,x
Nicaragua,2007,18,21,x,x,68.8,72.4,30.3,x,21,x,x
Niger,1977,x,x,x,x,x,x,79.6,14.9,16.2,22.5,x
Niger,1988,x,x,x,x,x,x,75.3,11.2,16.6,23.4,x
Niger,1992,x,x,x,x,2.3,4.4,x,x,x,x,x
Niger,1998,x,x,x,x,4.6,8.2,61.9,4.1,17.6,23.9,x
Niger,2000,x,x,x,x,4.3,14,x,x,x,x,x
Niger,2001,x,x,x,x,x,x,66.4,8.3,14.4,24.4,x
Niger,2005,x,x,15.1,42.9,x,x,x,x,x,x,x
Niger,2006,x,x,x,x,5,11.2,60.6,3.1,17.6,25.1,x
Niger,2007,15,18,x,x,x,x,x,x,x,x,x
Nigeria,1982,x,x,x,x,0.9,6.8,x,x,x,x,x
Nigeria,1990,x,x,x,x,3.5,6,x,x,x,x,x
Nigeria,1991,x,x,43.7,67.7,x,x,36.2,6.8,20.3,27.2,x
Nigeria,1994,x,x,x,x,10.9,13.4,x,x,x,x,x
Nigeria,1999,x,x,x,x,8.6,15.3,x,x,x,x,x
Nigeria,2003,x,x,x,x,6.8,12.6,33.2,1.1,20.9,28,x
Nigeria,2004,x,x,60.1,78.2,x,x,x,x,x,x,x
Nigeria,2006,x,x,x,x,x,x,24.4,5.2,23,28.6,x
Nigeria,2007,x,x,x,x,9.1,14.7,x,x,x,x,x
Nigeria,2008,x,x,x,x,8.1,14.6,29.3,0.9,21.6,28.5,x
Nigeria,2011,x,x,x,x,8.6,14.1,x,x,x,x,x
Norfolk Island,1988,x,x,x,x,x,x,x,x,x,x,1.0
Northern Mariana Islands,1970,x,x,x,x,16,20.5,x,x,x,x,x
Norway,1970,x,x,x,x,x,x,4.9,0.6,21.9,24.9,x
Norway,1978,x,x,x,x,65.2,71,x,x,x,x,x
Norway,1985,18,18,x,x,x,x,x,x,x,x,2907.0
Norway,1986,18,18,x,x,x,x,1,0.1,26,28.3,2975.0
Norway,1987,18,18,x,x,x,x,x,x,x,x,2882.0
Norway,1988,18,18,x,x,x,x,x,x,x,x,2940.0
Norway,1989,18,18,x,x,69.2,73.8,x,x,x,x,2805.0
Norway,1990,18,18,x,x,x,x,x,x,x,x,2642.0
Norway,1991,18,18,x,x,x,x,x,x,x,x,2507.0
Norway,1992,18,18,x,x,x,x,x,x,x,x,2304.0
Norway,1993,18,18,x,x,x,x,x,x,x,x,2079.0
Norway,1995,18,18,x,x,x,x,x,x,x,x,1781.0
Norway,1996,18,18,x,x,x,x,0.4,0.1,29.9,32.5,1762.0
Norway,1997,18,18,x,x,x,x,x,x,x,x,1654.0
Norway,1998,18,18,x,x,78.3,86.5,x,x,x,x,1607.0
Norway,1999,18,18,x,x,x,x,x,x,x,x,1514.0
Norway,2001,18,18,x,x,x,x,2.1,0.4,26.7,29.4,1441.0
Norway,2002,18,18,x,x,x,x,x,x,x,x,1326.0
Norway,2003,18,18,x,x,x,x,x,x,x,x,1221.0
Norway,2004,18,18,x,x,x,x,x,x,x,x,1134.0
Norway,2005,18,18,x,x,82.2,88.4,x,x,x,x,1153.0
Norway,2010,x,x,x,x,x,x,0.2,0,31.8,33.9,x
Occupied Palestinian Territory,1996,x,x,x,x,30.7,45.2,x,x,x,x,x
Occupied Palestinian Territory,2000,x,x,x,x,36.7,51.4,x,x,x,x,x
Occupied Palestinian Territory,2004,x,x,x,x,37.3,50.6,x,x,x,x,x
Occupied Palestinian Territory,2007,x,x,x,x,38.9,50.2,x,x,x,x,x
Oman,1989,x,x,x,x,7.5,8.6,x,x,x,x,x
Oman,1993,x,x,x,x,x,x,21.1,2.1,20.7,24.7,x
Oman,1995,x,x,x,x,18.2,23.7,15.5,1.3,21.7,25.9,x
Oman,2000,x,x,x,x,24.6,31.7,x,x,x,x,x
Oman,2003,18,18,73.5,86.9,x,x,4.2,0.4,24.8,28.1,x
Pakistan,1969,x,x,x,x,..,5.5,x,x,x,x,x
Pakistan,1975,x,x,x,x,3.9,5.4,x,x,x,x,x
Pakistan,1980,x,x,x,x,..,3.3,x,x,x,x,x
Pakistan,1981,x,x,x,x,x,x,29.5,7.6,20.3,25.1,x
Pakistan,1985,x,x,x,x,7.6,9.1,x,x,x,x,x
Pakistan,1990,x,x,x,x,9,11.8,x,x,x,x,x
Pakistan,1991,x,x,x,x,..,6.9,x,x,x,x,x
Pakistan,1993,x,x,x,x,17.9,21.9,x,x,x,x,x
Pakistan,1994,x,x,x,x,12.6,17.8,x,x,x,x,x
Pakistan,1995,x,x,x,x,..,13,x,x,x,x,x
Pakistan,1996,x,x,x,x,16.9,23.9,x,x,x,x,x
Pakistan,1997,x,x,x,x,..,15,x,x,x,x,x
Pakistan,1998,x,x,29,55.3,x,x,20.6,6.1,21.3,25.8,x
Pakistan,1999,x,x,x,x,..,17,x,x,x,x,x
Pakistan,2001,x,x,x,x,20.2,27.6,x,x,x,x,x
Pakistan,2003,x,x,x,x,25.2,32.1,13.4,2.6,22.3,26.4,x
Pakistan,2005,x,x,35.4,64.1,18.4,26,11.7,2.5,22.5,26.4,x
Pakistan,2007,16,18,x,x,21.7,29.6,10.8,2.3,22.7,26.4,x
Pakistan,2008,x,x,x,x,19.3,27,x,x,x,x,x
Palau,1980,x,x,x,x,x,x,7.1,1.5,25.2,28.3,x
Palau,1989,x,x,x,x,x,x,x,x,x,x,31.0
Palau,1990,x,x,x,x,x,x,x,x,x,x,52.0
Palau,1991,x,x,x,x,x,x,x,x,x,x,44.0
Palau,1992,x,x,x,x,x,x,x,x,x,x,51.0
Palau,1993,x,x,x,x,x,x,x,x,x,x,51.0
Palau,1994,x,x,x,x,x,x,x,x,x,x,36.0
Palau,1995,x,x,x,x,x,x,8.9,2,26.2,29.1,47.0
Palau,1996,x,x,x,x,x,x,x,x,x,x,42.0
Palau,1997,x,x,x,x,x,x,x,x,x,x,39.0
Palau,1998,x,x,x,x,x,x,x,x,x,x,27.0
Palau,1999,x,x,x,x,x,x,x,x,x,x,20.0
Palau,2000,x,x,x,x,x,x,x,x,x,x,16.0
Palau,2001,x,x,x,x,x,x,x,x,x,x,15.0
Palau,2002,x,x,x,x,x,x,x,x,x,x,25.0
Palau,2003,x,x,x,x,29.7,32.8,x,x,x,x,21.0
Palau,2004,x,x,x,x,x,x,x,x,x,x,18.0
Palau,2005,x,x,x,x,x,x,3.6,2.7,26.6,28.9,23.0
"Palestinian Territory, Occupied",1997,x,x,79.7,92.2,x,x,x,x,x,x,x
"Palestinian Territory, Occupied",2004,x,x,88,96.7,x,x,x,x,x,x,x
Panama,1970,x,x,x,x,x,x,26.6,5.5,20.4,24.8,x
Panama,1976,x,x,x,x,45.9,53.9,x,x,x,x,x
Panama,1979,x,x,x,x,54.1,60.6,x,x,x,x,x
Panama,1980,x,x,x,x,x,x,20.2,3.4,21.4,25.2,x
Panama,1985,18,18,x,x,54.2,58.2,x,x,x,x,11570.0
Panama,1986,18,18,x,x,x,x,x,x,x,x,11374.0
Panama,1987,18,18,x,x,x,x,x,x,x,x,11501.0
Panama,1988,18,18,x,x,x,x,x,x,x,x,11480.0
Panama,1989,18,18,x,x,x,x,x,x,x,x,11919.0
Panama,1990,18,18,88.2,89.3,x,x,21.4,4.7,21.9,25.4,11595.0
Panama,1991,18,18,x,x,x,x,x,x,x,x,11492.0
Panama,1992,18,18,x,x,x,x,x,x,x,x,11551.0
Panama,1993,18,18,x,x,x,x,x,x,x,x,11247.0
Panama,1994,18,18,x,x,x,x,x,x,x,x,11266.0
Panama,1995,18,18,x,x,x,x,x,x,x,x,11720.0
Panama,1996,18,18,x,x,x,x,x,x,x,x,11665.0
Panama,1997,18,18,x,x,x,x,x,x,x,x,13021.0
Panama,1998,18,18,x,x,x,x,x,x,x,x,12109.0
Panama,1999,18,18,x,x,x,x,x,x,x,x,12663.0
Panama,2000,18,18,91.2,92.5,x,x,22.1,4.8,21.9,25.8,12602.0
Panama,2002,18,18,x,x,x,x,x,x,x,x,11741.0
Panama,2003,18,18,x,x,x,x,x,x,x,x,11921.0
Panama,2005,18,18,x,x,x,x,x,x,x,x,12268.0
Panama,2009,x,x,x,x,48.8,52.2,x,x,x,x,x
Panama,2010,x,x,x,x,x,x,21.9,5.3,21.6,25.3,x
Papua New Guinea,1980,x,x,x,x,x,x,17.6,4.2,20.6,24.9,x
Papua New Guinea,1996,x,x,x,x,19.6,25.9,20.8,x,20.8,x,x
Papua New Guinea,2000,x,x,50.9,63.4,x,x,x,x,x,x,x
Papua New Guinea,2003,21,21,x,x,x,x,x,x,x,x,x
Papua New Guinea,2006,x,x,x,x,..,35.7,16,3.3,21.4,25,x
Paraguay,1972,x,x,x,x,x,x,11.7,0.8,21.7,26.5,x
Paraguay,1977,x,x,x,x,23.3,28.6,x,x,x,x,x
Paraguay,1979,x,x,x,x,25.4,37.7,x,x,x,x,x
Paraguay,1982,x,x,x,x,x,x,14.3,1.3,21.8,26.3,x
Paraguay,1987,x,x,x,x,29,44.8,x,x,x,x,x
Paraguay,1990,x,x,x,x,35.2,48.4,x,x,x,x,x
Paraguay,1992,x,x,88.6,92,x,x,16.6,2.1,21.5,25.8,x
Paraguay,1996,x,x,x,x,41.3,55.9,x,x,x,x,x
Paraguay,1998,x,x,x,x,47.5,61.8,x,x,x,x,x
Paraguay,2002,x,x,x,x,x,x,12,2,22.7,26.8,x
Paraguay,2004,x,x,92.7,94.3,60.5,72.8,13.2,x,22.9,x,x
Paraguay,2005,16,16,x,x,x,x,x,x,x,x,x
Paraguay,2008,x,x,x,x,70.1,79.4,x,x,x,x,x
Peru,1970,x,x,x,x,10,26,x,x,x,x,x
Peru,1972,x,x,x,x,x,x,17,5.5,21.8,25.2,x
Peru,1978,x,x,x,x,11.2,31.4,x,x,x,x,x
Peru,1981,x,x,x,x,17,41,14.5,3.2,22.8,25.9,x
Peru,1986,x,x,x,x,23,45.8,x,x,x,x,x
Peru,1992,x,x,x,x,32.8,59,x,x,x,x,x
Peru,1993,x,x,81.7,92.9,x,x,x,x,x,x,x
Peru,1996,x,x,x,x,41.3,64.2,12.5,2.7,23.1,26.5,x
Peru,2000,x,x,x,x,49.8,68.9,x,x,x,x,x
Peru,2004,x,x,82.1,93.5,x,x,11.5,x,24.4,x,x
Peru,2005,x,x,82.5,93.7,47.1,71.3,x,x,x,x,x
Peru,2007,16,16,x,x,x,x,15.7,5.5,23.5,26.6,x
Peru,2008,x,x,x,x,48.5,72.4,x,x,x,x,x
Peru,2009,x,x,x,x,49.9,73.2,x,x,x,x,x
Peru,2010,x,x,x,x,50.4,74.4,x,x,x,x,x
Philippines,1970,x,x,x,x,x,x,10.8,2.4,22.8,25.4,x
Philippines,1978,x,x,x,x,16.2,36.2,x,x,x,x,x
Philippines,1980,x,x,x,x,x,x,14.1,3.7,22.4,24.8,x
Philippines,1990,x,x,93.2,94,x,x,10.3,2.9,23.8,26.3,x
Philippines,1993,x,x,x,x,24.9,40,x,x,x,x,x
Philippines,1995,x,x,x,x,25.5,50.7,x,x,x,x,x
Philippines,1996,x,x,x,x,30.2,48.1,x,x,x,x,x
Philippines,1997,18,18,x,x,30.9,47,x,x,x,x,113806.0
Philippines,1998,18,18,x,x,28,46.5,x,x,x,x,115240.0
Philippines,1999,18,18,x,x,31.8,49.3,x,x,x,x,114205.0
Philippines,2000,18,18,92.7,92.5,31.6,47,,,,,126025.0
Philippines,2001,18,18,x,x,33.1,49.5,x,x,x,x,126721.0
Philippines,2002,18,18,x,x,35.1,48.8,x,x,x,x,123004.0
Philippines,2003,18,18,93.6,91.6,33,48.9,x,x,x,x,123865.0
Philippines,2004,18,18,x,x,34.7,49.3,x,x,x,x,135429.0
Philippines,2005,18,18,x,x,35.6,50.6,x,x,x,x,143953.0
Philippines,2006,18,18,x,x,x,x,x,x,x,x,x
Philippines,2007,x,x,x,x,x,x,5.3,1.7,24.4,27,x
Philippines,2008,x,x,x,x,33.6,50.7,x,x,x,x,x
Philippines,2011,x,x,x,x,36.3,48.9,x,x,x,x,x
Poland,1972,x,x,x,x,13.2,60,x,x,x,x,x
Poland,1974,x,x,x,x,x,x,4.4,0.5,22.3,25.7,x
Poland,1977,x,x,x,x,26.3,75,x,x,x,x,x
Poland,1985,18,21,x,x,x,x,x,x,x,x,43041.0
Poland,1986,18,21,x,x,x,x,x,x,x,x,40562.0
Poland,1987,18,21,x,x,x,x,x,x,x,x,40659.0
Poland,1988,18,21,x,x,x,x,4,0.6,23,26.2,41004.0
Poland,1989,18,21,x,x,x,x,x,x,x,x,41488.0
Poland,1990,18,21,x,x,x,x,x,x,x,x,43875.0
Poland,1991,18,21,x,x,28,72.7,x,x,x,x,46380.0
Poland,1992,18,21,x,x,x,x,x,x,x,x,43458.0
Poland,1993,18,21,x,x,x,x,x,x,x,x,41236.0
Poland,1994,18,21,x,x,x,x,x,x,x,x,39477.0
Poland,1995,18,21,x,x,x,x,x,x,x,x,34697.0
Poland,1996,18,21,x,x,x,x,2.2,0.2,24.4,27.4,33512.0
Poland,1997,18,21,x,x,x,x,x,x,x,x,31256.0
Poland,1998,18,21,x,x,x,x,x,x,x,x,30413.0
Poland,1999,18,21,x,x,x,x,x,x,x,x,28769.0
Poland,2001,18,21,x,x,x,x,x,x,x,x,25832.0
Poland,2002,18,21,x,x,x,x,1.6,0.2,25.3,28,24331.0
Poland,2003,18,21,x,x,x,x,x,x,x,x,22514.0
Poland,2004,18,21,x,x,x,x,x,x,x,x,20502.0
Poland,2005,18,21,x,x,x,x,x,x,x,x,19295.0
Poland,2007,18,21,x,x,x,x,x,x,x,x,x
Portugal,1970,x,x,x,x,x,x,5.3,1.2,23.2,25.6,x
Portugal,1980,x,x,x,x,37.8,76.3,x,x,x,x,x
Portugal,1981,x,x,x,x,x,x,8.9,1.6,22.1,24.7,x
Portugal,1985,16,16,x,x,x,x,x,x,x,x,13681.0
Portugal,1986,16,16,x,x,x,x,x,x,x,x,12663.0
Portugal,1987,16,16,x,x,x,x,x,x,x,x,11787.0
Portugal,1988,16,16,x,x,x,x,x,x,x,x,11163.0
Portugal,1989,16,16,x,x,x,x,x,x,x,x,10697.0
Portugal,1990,16,16,x,x,x,x,x,x,x,x,9994.0
Portugal,1991,16,16,84.7,91.6,x,x,5.7,1.3,23.9,26.7,9855.0
Portugal,1992,16,16,x,x,x,x,x,x,x,x,9456.0
Portugal,1993,16,16,x,x,x,x,x,x,x,x,9270.0
Portugal,1994,16,16,x,x,x,x,x,x,x,x,8557.0
Portugal,1995,16,16,x,x,x,x,x,x,x,x,8013.0
Portugal,1996,16,16,x,x,x,x,x,x,x,x,7860.0
Portugal,1997,16,16,x,x,70.4,78.8,x,x,x,x,7688.0
Portugal,2001,16,16,x,x,x,x,4.6,1.2,25.6,28.3,6873.0
Portugal,2002,16,16,x,x,x,x,x,x,x,x,6730.0
Portugal,2003,16,16,x,x,x,x,x,x,x,x,6143.0
Portugal,2004,16,16,92,95.8,x,x,x,x,x,x,5811.0
Portugal,2005,16,16,x,x,82.5,86.8,x,x,x,x,5515.0
Puerto Rico,1968,x,x,x,x,50.8,60.1,x,x,x,x,x
Puerto Rico,1970,x,x,x,x,x,x,15.6,4.6,22.1,24,x
Puerto Rico,1974,x,x,x,x,55,61,x,x,x,x,x
Puerto Rico,1976,x,x,x,x,57.6,64.6,x,x,x,x,x
Puerto Rico,1980,x,x,x,x,x,x,14.7,3.5,22.5,24.3,x
Puerto Rico,1982,x,x,x,x,62.1,70.4,x,x,x,x,x
Puerto Rico,1985,x,x,x,x,x,x,x,x,x,x,10978.0
Puerto Rico,1987,x,x,x,x,x,x,x,x,x,x,11221.0
Puerto Rico,1988,x,x,x,x,x,x,x,x,x,x,11027.0
Puerto Rico,1989,x,x,x,x,x,x,x,x,x,x,12032.0
Puerto Rico,1990,x,x,x,x,x,x,13.2,4.7,23.8,25.8,12505.0
Puerto Rico,1991,x,x,x,x,x,x,x,x,x,x,12212.0
Puerto Rico,1992,x,x,x,x,x,x,x,x,x,x,12374.0
Puerto Rico,1993,x,x,x,x,x,x,x,x,x,x,12820.0
Puerto Rico,1994,x,x,x,x,x,x,x,x,x,x,12779.0
