Country or Area,Subgroup,Year,Value
El Salvador,Female,2003,18
El Salvador,Male,2003,18
Equatorial Guinea,Female,2004,12
Equatorial Guinea,Male,2004,12
Eritrea,Female,2006,18
Eritrea,Male,2006,18
Estonia,Female,2003,18
Estonia,Male,2003,18
Ethiopia,Female,2003,18
Ethiopia,Male,2003,18
Fiji,Female,2003,21
Fiji,Male,2003,21
Finland,Female,2003,21
Finland,Male,2003,21
France,Female,2003,21
France,Male,2003,21
Gabon,Female,2005,15
Gabon,Male,2005,18
Gambia The,Female,2005,0
Gambia The,Male,2005,0
Georgia,Female,2006,18
Georgia,Male,2006,18
Germany,Female,2003,18
Germany,Male,2003,18
Ghana,Female,2006,18
Ghana,Male,2006,18
Greece,Female,2003,18
Greece,Male,2003,18
Guatemala,Female,2006,18
Guatemala,Male,2006,18
Guinea,Female,2007,17
Guinea,Male,2007,18
Hungary,Female,2003,18
Hungary,Male,2003,18
Iceland,Female,2003,18
Iceland,Male,2003,18
India,Female,2003,18
India,Male,2003,21
Indonesia,Female,2007,16
Indonesia,Male,2007,19
Iran,Female,2003,15
Iran,Male,2003,15
Iraq,Female,2003,18
Iraq,Male,2003,18
Israel,Female,2003,17
Israel,Male,2003,17
Italy,Female,2003,18
Italy,Male,2003,18
Jamaica,Female,2006,18
Jamaica,Male,2006,18
Japan,Female,2003,20
Japan,Male,2003,20
Jordan,Female,2007,18
Jordan,Male,2007,18
Kazakhstan,Female,2007,18
Kazakhstan,Male,2007,18
Kenya,Female,2003,18
Kenya,Male,2003,18
Korea DPR,Female,2005,17
Korea DPR,Male,2005,18
Korea Rep,Female,2007,16
Korea Rep,Male,2007,18
Kuwait,Female,2004,15
Kuwait,Male,2004,17
Kyrgyzstan,Female,2003,18
Kyrgyzstan,Male,2003,18
Lao PDR,Female,2005,18
Lao PDR,Male,2005,18
Latvia,Female,2004,18
Latvia,Male,2004,18
Liechtenstein,Female,2003,18
Liechtenstein,Male,2003,18
Lithuania,Female,2003,18
Lithuania,Male,2003,18
Luxembourg,Female,1997,16
Luxembourg,Male,1997,18
Madagascar,Female,2003,18
Madagascar,Male,2003,18
Malawi,Female,2003,18
Malawi,Male,2003,18
Malaysia,Female,2006,18
Malaysia,Male,2006,18
Maldives,Female,2001,0
Maldives,Male,2001,0
Mali,Female,2006,15
Mali,Male,2006,18
Malta,Female,2004,18
Malta,Male,2004,18
Mauritania,Female,2007,18
Mauritania,Male,2007,18
Mauritius,Female,2006,18
Mauritius,Male,2006,18
Mexico,Female,2006,14
Mexico,Male,2006,16
Mongolia,Female,2001,18
Mongolia,Male,2001,18
Morocco,Female,2003,18
Morocco,Male,2003,18
Mozambique,Female,2007,14
Mozambique,Male,2007,16
Myanmar,Female,2003,18
Myanmar,Male,2003,18
Namibia,Female,2003,21
Namibia,Male,2003,21
Nepal,Female,2003,20
Nepal,Male,2003,20
Netherlands,Female,2003,18
Netherlands,Male,2003,18
New Zealand,Female,2003,20
New Zealand,Male,2003,20
Nicaragua,Female,2007,18
Nicaragua,Male,2007,21
Niger,Female,2007,15
Niger,Male,2007,18
Norway,Female,2003,18
Norway,Male,2003,18
Oman,Female,2003,18
Oman,Male,2003,18
Pakistan,Female,2007,16
Pakistan,Male,2007,18
Panama,Female,2003,18
Panama,Male,2003,18
Papua New Guinea,Female,2003,21
Papua New Guinea,Male,2003,21
Paraguay,Female,2005,16
Paraguay,Male,2005,16
Peru,Female,2007,16
Peru,Male,2007,16
Philippines,Female,2006,18
Philippines,Male,2006,18
Poland,Female,2007,18
Poland,Male,2007,21
Portugal,Female,2003,16
Portugal,Male,2003,16
Republic of Moldova,Female,2006,16
Republic of Moldova,Male,2006,18
Romania,Female,2006,16
Romania,Male,2006,18
Russian Federation,Female,2003,18
Russian Federation,Male,2003,18
Rwanda,Female,2003,21
Rwanda,Male,2003,21
Saint Lucia,Female,2006,18
Saint Lucia,Male,2006,18
Samoa,Female,2005,19
Samoa,Male,2005,21
San Marino,Female,2003,18
San Marino,Male,2003,18
Saudi Arabia,Female,2003,17
Saudi Arabia,Male,2003,20
Serbia,Female,2007,18
Serbia,Male,2007,18
Sierra Leone,Female,2007,21
Sierra Leone,Male,2007,21
Singapore,Female,2001,21
Singapore,Male,2001,21
Slovakia,Female,1998,18
