Cote d'Ivoire,1998,18,21,47.05871294,54.40312929,x,x,25.4,1.7,21.9,28,29.6,95.9,x
Cote d'Ivoire,1999,18,21,x,x,7.3,15,x,x,x,x,29.4,95.9,x
Cote d'Ivoire,2000,18,21,x,x,x,x,x,x,x,x,29.2,95.7,x
Cote d'Ivoire,2001,18,21,x,x,x,x,x,x,x,x,29.1,95.9,x
Cote d'Ivoire,2002,18,21,x,x,x,x,x,x,x,x,29.1,95.9,x
Cote d'Ivoire,2003,18,21,x,x,x,x,x,x,x,x,29,96,x
Cote d'Ivoire,2004,18,21,x,x,x,x,x,x,x,x,29.4,96,x
Cote d'Ivoire,2005,18,21,x,x,x,x,x,x,x,x,29.3,96.8,x
Cote d'Ivoire,2006,18,21,x,x,8,12.9,x,x,x,x,29.3,x,x
Cote d'Ivoire,2011,18,21,67.52731,72.29478,x,x,x,x,x,x,x,x,x
Croatia,1970,18,18,x,x,7,58,x,x,x,x,x,x,x
Croatia,1985,18,18,x,x,x,x,x,x,x,x,41.1,106.6,x
Croatia,1986,18,18,x,x,x,x,x,x,x,x,41.3,x,x
Croatia,1987,18,18,x,x,x,x,x,x,x,x,41.5,x,x
Croatia,1988,18,18,x,x,x,x,x,x,x,x,41.6,x,5165
Croatia,1989,18,18,x,x,x,x,x,x,x,x,41.8,106.4,4668
Croatia,1990,18,18,x,x,x,x,x,x,x,x,42.1,106.7,4391
Croatia,1991,18,18,99.6358923,99.66618314,x,x,5.2,0.5,23.8,28,42.5,108.1,4033
Croatia,1992,18,18,x,x,x,x,x,x,x,x,42.8,108.1,3385
Croatia,1993,18,18,x,x,x,x,x,x,x,x,43,108.1,3158
Croatia,1994,18,18,x,x,x,x,x,x,x,x,43.2,108.1,3036
Croatia,1995,18,18,x,x,x,x,x,x,x,x,43.4,107.5,2845
Croatia,1996,18,18,x,x,x,x,x,x,x,x,43.6,108.1,2990
Croatia,1997,18,18,x,x,x,x,x,x,x,x,43.8,108.1,2829
Croatia,1998,18,18,x,x,x,x,x,x,x,x,43.9,108.1,2468
Croatia,1999,18,18,x,x,x,x,x,x,x,x,44.1,108.1,x
Croatia,2000,18,18,x,x,x,x,x,x,x,x,44.2,107.7,2307
Croatia,2001,18,18,99.65320892,99.64425979,x,x,2.4,0.3,26.2,29.8,44.4,107.8,2254
Croatia,2002,18,18,x,x,x,x,x,x,x,x,44.5,107.8,2149
Croatia,2003,18,18,x,x,x,x,x,x,x,x,44.6,107.8,1977
Croatia,2004,18,18,x,x,x,x,x,x,x,x,44.8,107.7,1900
Croatia,2005,18,18,x,x,x,x,x,x,x,x,45,107.8,1892
Croatia,2006,18,18,x,x,x,x,x,x,x,x,45.2,x,x
Croatia,2011,18,18,99.64582,99.62187,x,x,x,x,x,x,x,x,x
Cuba,1970,18,18,x,x,x,x,29.6,4.6,19.5,23.4,x,x,x
Cuba,1981,18,18,99.56856856,x,x,x,28.8,6.7,19.8,23.5,x,x,x
Cuba,1985,18,18,x,x,x,x,x,x,x,x,32.2,98.5,53159
Cuba,1986,18,18,x,x,x,x,x,x,x,x,32.7,x,45888
Cuba,1987,18,18,x,x,67,70,x,x,x,x,33.3,x,46147
Cuba,1988,18,18,x,x,x,x,x,x,x,x,33.8,x,45771
Cuba,1989,18,18,x,x,x,x,x,x,x,x,34.2,x,45771
Cuba,1990,18,18,x,x,x,x,x,x,x,x,34.6,98.7,41337
Cuba,1991,18,18,x,x,x,x,x,x,x,x,34.8,x,36246
Cuba,1992,18,18,x,x,x,x,x,x,x,x,34.9,x,x
Cuba,1993,18,18,x,x,x,x,x,x,x,x,35,x,26537
Cuba,1994,18,18,x,x,x,x,x,x,x,x,35.2,x,24650
Cuba,1995,18,18,x,x,x,x,x,x,x,x,35.5,99.1,22668
Cuba,1996,18,18,x,x,x,x,x,x,x,x,35.7,x,19351
Cuba,1997,18,18,x,x,x,x,x,x,x,x,35.9,x,19965
Cuba,1998,18,18,x,x,x,x,x,x,x,x,36.3,x,18840
Cuba,1999,18,18,x,x,x,x,x,x,x,x,36.6,101.4,19570
Cuba,2000,18,18,x,x,72.1,73.3,x,x,x,x,36.9,100,18745
Cuba,2001,18,18,x,x,x,x,x,x,x,x,36.7,99.7,18895
Cuba,2002,18,18,99.95560368,99.95740613,x,x,23.1,5.5,21.1,25.3,36.7,99.7,19281
Cuba,2003,18,18,x,x,x,x,x,x,x,x,36.6,99.7,19152
Cuba,2004,18,18,x,x,x,x,x,x,x,x,37.3,99.7,19133
Cuba,2005,18,18,x,x,x,x,x,x,x,x,37.5,99.8,18452
Cuba,2006,18,18,x,x,71.6,72.6,x,x,x,x,37.6,x,x
Cuba,2011,18,18,99.98448,99.98816,x,x,x,x,x,x,x,x,x
Cyprus,1973,18,18,x,x,x,x,3.8,0.7,24.2,25.9,x,x,x
Cyprus,1985,18,18,x,x,x,x,x,x,x,x,36.4,101,880
Cyprus,1986,18,18,x,x,x,x,x,x,x,x,36.6,100.7,708
Cyprus,1987,18,18,x,x,x,x,x,x,x,x,36.9,100.5,701
Cyprus,1988,18,18,x,x,x,x,x,x,x,x,37,100.6,732
Cyprus,1989,18,18,x,x,x,x,x,x,x,x,37.5,100.5,677
Cyprus,1990,18,18,x,x,x,x,x,x,x,x,37.7,100.6,722
Cyprus,1991,18,18,x,x,x,x,x,x,x,x,38,100.8,655
Cyprus,1992,18,18,99.66419777,99.57990952,x,x,7.5,0.6,23.1,27,38.5,100.8,695
Cyprus,1993,18,18,x,x,x,x,x,x,x,x,38.4,100.9,518
Cyprus,1994,18,18,x,x,x,x,x,x,x,x,38.5,101.5,459
Cyprus,1995,18,18,x,x,x,x,x,x,x,x,38.3,100.3,413
Cyprus,1996,18,18,x,x,x,x,x,x,x,x,38.7,102.2,370
Cyprus,1997,18,18,x,x,x,x,x,x,x,x,39.4,102.6,331
Cyprus,1998,18,18,x,x,x,x,x,x,x,x,40.1,102.9,323
Cyprus,1999,18,18,x,x,x,x,x,x,x,x,40.7,103.2,321
Cyprus,2000,18,18,x,x,x,x,x,x,x,x,41.4,103.1,272
Cyprus,2001,18,18,99.77493173,99.73630832,x,x,2.8,0.7,25.2,28.7,42.5,103.7,189
Cyprus,2002,18,18,x,x,x,x,x,x,x,x,43.3,104,173
Cyprus,2003,18,18,x,x,x,x,x,x,x,x,44,103.7,156
Cyprus,2004,18,18,x,x,x,x,x,x,x,x,44.6,103.1,221
Cyprus,2005,18,18,x,x,x,x,x,x,x,x,45.2,105.5,180
Cyprus,2006,18,18,x,x,x,x,x,x,x,x,45.6,x,x
Cyprus,2011,18,18,99.83831163,99.80454237,x,x,1.7,0.7,27.9,30.8,x,x,x
Czech Republic,1970,18,18,x,x,24.3,66,8.5,1.1,21.2,24.3,x,x,x
Czech Republic,1977,18,18,x,x,49.3,95,x,x,x,x,x,x,x
Czech Republic,1980,18,18,x,x,x,x,8.4,1.2,21.3,24.6,x,x,x
Czech Republic,1985,18,18,x,x,x,x,x,x,x,x,47.3,106.2,x
Czech Republic,1986,18,18,x,x,x,x,x,x,x,x,47.3,106,x
Czech Republic,1987,18,18,x,x,x,x,x,x,x,x,47.3,105.9,x
Czech Republic,1988,18,18,x,x,x,x,x,x,x,x,47.4,105.9,x
Czech Republic,1989,18,18,x,x,x,x,x,x,x,x,47.5,105.8,x
Czech Republic,1990,18,18,x,x,x,x,x,x,x,x,47.5,106,x
Czech Republic,1991,18,18,x,x,53,78,7.3,1.5,21.9,25.2,46.9,106,20045
Czech Republic,1992,18,18,x,x,x,x,x,x,x,x,45.8,106,19719
Czech Republic,1993,18,18,x,x,44.9,68.9,x,x,x,x,44.4,105.9,19088
Czech Republic,1994,18,18,x,x,x,x,x,x,x,x,44.4,105.8,14341
Czech Republic,1995,18,18,x,x,x,x,x,x,x,x,44.2,105.7,10609
Czech Republic,1996,18,18,x,x,x,x,x,x,x,x,44,105.7,8139
Czech Republic,1997,18,18,x,x,62.6,72,x,x,x,x,44,105.6,6939
Czech Republic,1998,18,18,x,x,x,x,x,x,x,x,44.2,105.6,6035
Czech Republic,1999,18,18,x,x,x,x,x,x,x,x,44.3,105.5,5347
Czech Republic,2000,18,18,x,x,x,x,x,x,x,x,44.3,105.5,4468
Czech Republic,2001,18,18,x,x,x,x,0.8,0.2,25.8,28.6,44.3,105.3,3827
Czech Republic,2002,18,18,x,x,x,x,x,x,x,x,44.1,105.5,4453
Czech Republic,2003,18,18,x,x,x,x,x,x,x,x,44.2,105.3,3713
Czech Republic,2004,18,18,x,x,x,x,x,x,x,x,44.8,105.3,3659
Czech Republic,2005,18,18,x,x,x,x,x,x,x,x,45,105.1,3502
Czech Republic,2006,18,18,x,x,x,x,x,x,x,x,45.3,x,x
Czech Republic,2011,18,18,x,x,x,x,0.2,0,30.2,32.6,x,x,x
Democratic Republic of the Congo,1984,15,18,x,x,4.4,25.8,32.3,4.7,20,24.9,x,x,x
Democratic Republic of the Congo,1985,15,18,x,x,x,x,x,x,x,x,41.7,103.5,x
Democratic Republic of the Congo,1986,15,18,x,x,x,x,x,x,x,x,41.5,104.1,x
Democratic Republic of the Congo,1987,15,18,x,x,x,x,x,x,x,x,41.4,104.1,x
Democratic Republic of the Congo,1988,15,18,x,x,x,x,x,x,x,x,41.6,104.1,x
Democratic Republic of the Congo,1989,15,18,x,x,x,x,x,x,x,x,41.6,x,x
Democratic Republic of the Congo,1990,15,18,x,x,x,x,x,x,x,x,41.6,103,x
Democratic Republic of the Congo,1991,15,18,x,x,2.3,7.7,x,x,x,x,41.5,x,x
Democratic Republic of the Congo,1992,15,18,x,x,x,x,x,x,x,x,41.5,x,x
Democratic Republic of the Congo,1993,15,18,x,x,x,x,x,x,x,x,41.5,x,x
Democratic Republic of the Congo,1994,15,18,x,x,x,x,x,x,x,x,41.4,x,x
Democratic Republic of the Congo,1995,15,18,x,x,x,x,x,x,x,x,41.9,102.7,x
Democratic Republic of the Congo,1996,15,18,x,x,x,x,x,x,x,x,41.9,x,x
Democratic Republic of the Congo,1997,15,18,x,x,x,x,x,x,x,x,41.5,x,x
Democratic Republic of the Congo,1998,15,18,x,x,x,x,x,x,x,x,41.5,x,x
Democratic Republic of the Congo,1999,15,18,x,x,x,x,x,x,x,x,41.5,x,x
Democratic Republic of the Congo,2000,15,18,x,x,x,x,x,x,x,x,41.4,102.5,x
Democratic Republic of the Congo,2001,15,18,70.41626331,77.9811098,4.4,31.4,x,x,x,x,41.5,x,x
Democratic Republic of the Congo,2002,15,18,x,x,x,x,x,x,x,x,41.4,x,x
Democratic Republic of the Congo,2003,15,18,x,x,x,x,x,x,x,x,41.3,x,x
Democratic Republic of the Congo,2004,15,18,x,x,x,x,x,x,x,x,41.4,x,x
Democratic Republic of the Congo,2005,15,18,x,x,x,x,x,x,x,x,41.4,102.1,x
Democratic Republic of the Congo,2006,15,18,x,x,x,x,x,x,x,x,41.4,x,x
Democratic Republic of the Congo,2007,15,18,53.25022016,78.93641841,5.8,20.6,24.6,6.2,20.8,25.2,x,x,x
Democratic Republic of the Congo,2010,15,18,x,x,5.5,17.7,x,x,x,x,x,x,x
Denmark,1970,18,18,x,x,54,67,4.6,0.4,22,25.1,x,x,x
Denmark,1975,18,18,x,x,59.9,63,x,x,x,x,x,x,x
Denmark,1985,18,18,x,x,x,x,0.7,0.1,27.5,30.2,45.7,103,1866
Denmark,1986,18,18,x,x,x,x,x,x,x,x,45.9,102.9,1800
Denmark,1987,18,18,x,x,x,x,x,x,x,x,46.2,102.9,1727
Denmark,1988,18,18,x,x,72,78,x,x,x,x,45.7,102.9,1605
Denmark,1989,18,18,x,x,x,x,x,x,x,x,45.7,102.9,1656
Denmark,1990,18,18,x,x,x,x,x,x,x,x,46.1,102.9,1647
Denmark,1991,18,18,x,x,x,x,x,x,x,x,46.5,102.9,1617
Denmark,1992,18,18,x,x,x,x,x,x,x,x,46.7,102.8,1706
Denmark,1993,18,18,x,x,x,x,x,x,x,x,46.8,102.8,1549
Denmark,1994,18,18,x,x,x,x,x,x,x,x,45.8,102.7,1521
Denmark,1995,18,18,x,x,x,x,5.4,1.2,25,27.7,45.3,102.6,1388
Denmark,1996,18,18,x,x,x,x,x,x,x,x,45.4,102.5,1253
Denmark,1997,18,18,x,x,x,x,x,x,x,x,45.5,102.5,x
Denmark,1998,18,18,x,x,x,x,x,x,x,x,46.3,102.4,1161
Denmark,1999,18,18,x,x,x,x,x,x,x,x,46.2,102.4,1122
Denmark,2000,18,18,x,x,x,x,x,x,x,x,46.6,102.3,x
Denmark,2001,18,18,x,x,x,x,x,x,x,x,46.7,102.3,1424
Denmark,2002,18,18,x,x,x,x,x,x,x,x,46.5,102.2,908
Denmark,2003,18,18,x,x,x,x,x,x,x,x,46.4,102.2,854
Denmark,2004,18,18,x,x,x,x,x,x,x,x,46.7,102.1,827
Denmark,2005,18,18,x,x,x,x,0.2,0,30.8,32.8,46.9,102.1,845
Denmark,2006,18,18,x,x,x,x,x,x,x,x,46.9,x,x
Denmark,2011,18,18,x,x,x,x,0.1,0,31,32.8,x,x,x
Dominica,1970,16,16,x,x,x,x,1,0.3,29.6,32.5,x,x,x
Dominica,1981,16,16,x,x,x,x,0.4,0.2,30.8,33.3,x,x,x
Dominica,1982,16,16,x,x,57.5,62.3,x,x,x,x,x,x,x
Dominica,1985,16,16,x,x,x,x,x,x,x,x,x,x,405
Dominica,1986,16,16,x,x,x,x,x,x,x,x,x,x,471
Dominica,1987,16,16,x,x,47.9,49.8,x,x,x,x,x,x,418
Dominica,1988,16,16,x,x,x,x,x,x,x,x,x,x,436
Dominica,1989,16,16,x,x,x,x,x,x,x,x,x,x,426
Dominica,1990,16,16,x,x,x,x,x,x,x,x,x,100.8,x
Dominica,1991,16,16,x,x,x,x,0.3,0.1,31.6,35.4,x,100.8,x
Dominica,1992,16,16,x,x,x,x,x,x,x,x,x,99.1,x
Dominica,1993,16,16,x,x,x,x,x,x,x,x,x,97.5,x
Dominica,1994,16,16,x,x,x,x,x,x,x,x,x,95.6,x
Dominica,1995,16,16,x,x,x,x,x,x,x,x,x,94.1,x
Dominica,1996,16,16,x,x,x,x,x,x,x,x,x,94.7,x
Dominica,1997,16,16,x,x,x,x,x,x,x,x,x,95.6,x
Dominica,1998,16,16,x,x,x,x,x,x,x,x,x,96.4,x
Dominica,1999,16,16,x,x,x,x,x,x,x,x,x,96.4,x
Dominica,2000,16,16,x,x,x,x,x,x,x,x,x,100.2,x
Dominica,2001,16,16,x,x,x,x,0.2,0.2,32.5,36.5,x,101.2,x
Dominica,2002,16,16,x,x,x,x,x,x,x,x,x,98.4,x
Dominica,2003,16,16,x,x,x,x,x,x,x,x,x,x,x
Dominica,2005,16,16,x,x,x,x,x,x,x,x,x,x,142
Dominican Republic,1970,18,18,x,x,x,x,22.4,6,19.6,26.1,x,x,x
Dominican Republic,1975,18,18,x,x,26,31.8,x,x,x,x,x,x,x
Dominican Republic,1980,18,18,x,x,35,42,x,x,x,x,x,x,x
Dominican Republic,1981,18,18,83.93852604,81.25730657,x,x,20.7,4,21.8,26.3,x,x,x
Dominican Republic,1983,18,18,x,x,41.8,45.8,x,x,x,x,x,x,x
Dominican Republic,1985,18,18,x,x,x,x,x,x,x,x,27.3,97.7,x
Dominican Republic,1986,18,18,x,x,46.7,50,x,x,x,x,27.8,x,x
Dominican Republic,1987,18,18,x,x,x,x,x,x,x,x,28.2,x,x
Dominican Republic,1988,18,18,x,x,x,x,x,x,x,x,28.7,x,x
Dominican Republic,1989,18,18,x,x,x,x,x,x,x,x,29.2,x,x
Dominican Republic,1990,18,18,x,x,x,x,x,x,x,x,29.6,98,x
Dominican Republic,1991,18,18,x,x,51.7,56.4,x,x,x,x,30.1,x,x
Dominican Republic,1992,18,18,x,x,x,x,x,x,x,x,30.5,x,x
Dominican Republic,1993,18,18,x,x,x,x,21.9,4.3,22.5,26,31,105.4,x
Dominican Republic,1994,18,18,x,x,x,x,x,x,x,x,31.2,x,x
Dominican Republic,1995,18,18,x,x,x,x,x,x,x,x,31.5,98.4,x
Dominican Republic,1996,18,18,x,x,59.2,63.7,x,x,x,x,31.9,x,x
Dominican Republic,1997,18,18,x,x,x,x,x,x,x,x,32.4,x,x
Dominican Republic,1998,18,18,x,x,x,x,x,x,x,x,33,x,x
Dominican Republic,1999,18,18,x,x,64.2,69.2,x,x,x,x,33.5,x,x
Dominican Republic,2000,18,18,x,x,62.5,64.7,x,x,x,x,33.9,98.8,x
Dominican Republic,2001,18,18,x,x,x,x,x,x,x,x,34.1,x,x
Dominican Republic,2002,18,18,94.21757209,92.99863685,65.4,69.8,22.1,4.1,21.9,26.1,34.4,100.8,x
Dominican Republic,2003,18,18,x,x,x,x,x,x,x,x,34.4,x,x
Dominican Republic,2004,18,18,x,x,x,x,x,x,x,x,35.5,x,x
Dominican Republic,2005,18,18,x,x,x,x,x,x,x,x,36.1,99.3,x
Dominican Republic,2006,18,18,x,x,60,61.3,x,x,x,x,36.6,x,x
Dominican Republic,2007,18,18,96.93072916,94.62720859,69.5,72.9,26.7,4.6,21,25.4,x,x,x
Dominican Republic,2010,18,18,96.80575124,95.77529602,x,x,x,x,x,x,x,x,x
Dominican Republic,2011,18,18,98.05364314,96.09168726,x,x,x,x,x,x,x,x,x
Ecuador,1974,18,18,x,x,x,x,19.5,3.9,21.2,25,x,x,x
Ecuador,1980,18,18,x,x,25.8,33.6,x,x,x,x,x,x,x
Ecuador,1982,18,18,93.40145535,94.55480682,32.9,39.9,19,4.2,21.4,24.8,x,x,x
Ecuador,1985,18,18,x,x,x,x,x,x,x,x,24.2,98.8,x
Ecuador,1986,18,18,x,x,x,x,x,x,x,x,24.9,x,x
Ecuador,1987,18,18,x,x,35.8,44.3,x,x,x,x,25.6,x,x
Ecuador,1988,18,18,x,x,x,x,x,x,x,x,26.3,x,x
Ecuador,1989,18,18,x,x,41.6,52.9,x,x,x,x,27,x,x
Ecuador,1990,18,18,95.83324614,96.57576553,x,x,18,4.5,22,25.2,27.8,98.9,x
Ecuador,1991,18,18,x,x,x,x,x,x,x,x,29.4,x,x
Ecuador,1992,18,18,x,x,x,x,x,x,x,x,31.1,99,x
Ecuador,1993,18,18,x,x,x,x,x,x,x,x,32.8,x,x
Ecuador,1994,18,18,x,x,45.9,56.8,x,x,x,x,34.4,99,x
Ecuador,1995,18,18,x,x,x,x,x,x,x,x,36,99,x
Ecuador,1996,18,18,x,x,x,x,x,x,x,x,37.6,99,x
Ecuador,1997,18,18,x,x,x,x,x,x,x,x,37.6,99,x
Ecuador,1998,18,18,x,x,x,x,x,x,x,x,38.8,99.1,x
Ecuador,1999,18,18,x,x,51.4,65.8,x,x,x,x,39.6,99.1,x
Ecuador,2000,18,18,x,x,x,x,x,x,x,x,40.5,99.2,x
Ecuador,2001,18,18,96.43720634,96.37939586,x,x,22,7,21.5,24.6,41.3,99.2,x
Ecuador,2002,18,18,x,x,x,x,x,x,x,x,39.6,99.2,x
Ecuador,2003,18,18,x,x,x,x,x,x,x,x,40,99.3,x
Ecuador,2004,18,18,x,x,58.7,72.7,x,x,x,x,41.9,99.3,x
Ecuador,2005,18,18,x,x,x,x,x,x,x,x,42.4,99.4,x
Ecuador,2006,18,18,x,x,x,x,x,x,x,x,42.9,x,x
Ecuador,2007,18,18,95.62893477,95.21830904,x,x,x,x,x,x,x,x,x
Ecuador,2009,18,18,96.83109757,96.81895332,x,x,x,x,x,x,x,x,x
Ecuador,2010,18,18,98.85409733,98.46886749,x,x,21.9,6.6,21.8,25,x,x,x
Ecuador,2011,18,18,98.69484109,98.58650197,x,x,x,x,x,x,x,x,x
Egypt,1975,16,18,x,x,22.4,24.9,x,x,x,x,x,x,x
Egypt,1976,16,18,38.1226441,63.04068218,x,x,21.8,3.8,20.6,23.7,x,x,x
Egypt,1980,16,18,x,x,29.7,31.4,x,x,x,x,x,x,x
Egypt,1984,16,18,x,x,28.7,30.3,x,x,x,x,x,x,x
Egypt,1985,16,18,x,x,x,x,x,x,x,x,23,98.7,48651
Egypt,1986,16,18,63.32761578,71.38067515,x,x,20.7,10.4,20.8,23.6,24.1,95.3,45377
Egypt,1987,16,18,x,x,x,x,x,x,x,x,25.5,x,42706
Egypt,1988,16,18,x,x,35.4,37.8,x,x,x,x,27,x,43572
Egypt,1989,16,18,x,x,x,x,x,x,x,x,28.4,x,39357
Egypt,1990,16,18,x,x,x,x,x,x,x,x,26.4,98.6,35630
Egypt,1991,16,18,x,x,44.3,47.6,x,x,x,x,23.4,95.5,36902
Egypt,1992,16,18,x,x,44.8,47.1,x,x,x,x,22.8,95.3,34092
Egypt,1993,16,18,x,x,x,x,x,x,x,x,23.2,95.2,34563
Egypt,1994,16,18,x,x,x,x,x,x,x,x,23.6,95.1,37654
Egypt,1995,16,18,x,x,51.8,54.5,x,x,x,x,22.8,99,39110
Egypt,1996,16,18,66.93153816,78.99087266,x,x,14.5,2.1,22.3,27,22.2,95.4,41366
Egypt,1997,16,18,x,x,x,x,x,x,x,x,21.7,95.5,49767
Egypt,1998,16,18,x,x,49.5,51.7,x,x,x,x,21.1,95.5,55849
Egypt,1999,16,18,x,x,x,x,x,x,x,x,21.6,95.4,58512
Egypt,2000,16,18,x,x,53.9,56.1,x,x,x,x,21.8,99.3,x
Egypt,2001,16,18,x,x,x,x,x,x,x,x,22.2,94.6,x
Egypt,2002,16,18,x,x,x,x,x,x,x,x,22.5,x,x
Egypt,2003,16,18,x,x,56.6,60,x,x,x,x,22.7,x,x
Egypt,2004,16,18,x,x,x,x,x,x,x,x,21.8,x,x
Egypt,2005,16,18,84.93290019,90.07911551,56.5,59.2,x,x,x,x,21.8,99.7,x
Egypt,2006,16,18,81.75145131,87.85679631,x,x,11.7,0.8,22,26.9,21.8,x,x
Egypt,2008,16,18,x,x,57.6,60.3,13.5,x,22.7,x,x,x,x
Egypt,2010,16,18,87.50963615,90.55763169,x,x,x,x,x,x,x,x,x
Egypt,2012,16,18,86.05158993,92.35576142,x,x,x,x,x,x,x,x,x
El Salvador,1971,18,18,x,x,x,x,20.4,3.4,19,24.7,x,x,x
El Salvador,1975,18,18,x,x,20,21.6,x,x,x,x,x,x,x
El Salvador,1978,18,18,x,x,32.3,34.4,x,x,x,x,x,x,x
El Salvador,1985,18,18,x,x,44.5,47.3,30,x,20,x,37.6,103.3,27815
El Salvador,1986,18,18,x,x,x,x,x,x,x,x,38.4,104.3,28617
El Salvador,1987,18,18,x,x,x,x,x,x,x,x,39.1,103.6,28815
El Salvador,1988,18,18,x,x,43.5,47.1,x,x,x,x,39.8,104.4,29756
El Salvador,1989,18,18,x,x,x,x,x,x,x,x,40.5,103.8,30169
El Salvador,1990,18,18,x,x,x,x,x,x,x,x,41.2,104.3,30198
El Salvador,1991,18,18,x,x,x,x,x,x,x,x,41.2,103.9,31041
El Salvador,1992,18,18,84.9466353,84.94525583,x,x,15.9,4.5,22.3,25.3,34.9,103.9,31117
El Salvador,1993,18,18,x,x,48.4,53.3,x,x,x,x,36,x,33424
El Salvador,1994,18,18,x,x,x,x,x,x,x,x,36.7,x,35634
El Salvador,1995,18,18,x,x,x,x,x,x,x,x,35.8,104.3,36164
El Salvador,1996,18,18,x,x,x,x,x,x,x,x,35.6,104.1,37645
El Salvador,1997,18,18,x,x,x,x,x,x,x,x,35.8,104,36765
El Salvador,1998,18,18,x,x,54.1,59.7,x,x,x,x,37.6,103.9,35156
El Salvador,1999,18,18,x,x,x,x,x,x,x,x,38,103.8,33226
El Salvador,2000,18,18,x,x,x,x,x,x,x,x,38.1,103.9,32009
El Salvador,2001,18,18,x,x,x,x,x,x,x,x,38.2,103.6,28993
El Salvador,2002,18,18,x,x,x,x,21.8,x,22,x,38.4,103.6,26728
El Salvador,2003,18,18,x,x,61,67.3,x,x,x,x,38.5,103.5,25566
El Salvador,2004,18,18,90.97597,86.91404,x,x,x,x,x,x,39.7,103.4,x
El Salvador,2005,18,18,x,x,x,x,x,x,x,x,40.3,103.9,23191
El Salvador,2006,18,18,94.95099085,94.39686831,x,x,x,x,x,x,40.8,x,x
El Salvador,2007,18,18,93.88948534,93.21922167,x,x,17,5.7,22.5,25.5,x,x,x
El Salvador,2008,18,18,95.9574739,95.40500822,65.9,72.5,x,x,x,x,x,x,x
El Salvador,2009,18,18,95.32356249,94.70804818,x,x,x,x,x,x,x,x,x
El Salvador,2010,18,18,96.03445538,95.66904441,x,x,x,x,x,x,x,x,x
Equatorial Guinea,1983,12,12,x,x,x,x,26.3,2.1,21.7,26.9,x,x,x
Equatorial Guinea,1985,12,12,x,x,x,x,x,x,x,x,35,103.6,x
Equatorial Guinea,1986,12,12,x,x,x,x,x,x,x,x,35.2,x,x
Equatorial Guinea,1987,12,12,x,x,x,x,x,x,x,x,35.6,x,x
Equatorial Guinea,1988,12,12,x,x,x,x,x,x,x,x,35.3,x,x
Equatorial Guinea,1989,12,12,x,x,x,x,x,x,x,x,35.6,x,x
Equatorial Guinea,1990,12,12,x,x,x,x,x,x,x,x,35.5,103.3,x
Equatorial Guinea,1991,12,12,x,x,x,x,x,x,x,x,35.7,106,x
Equatorial Guinea,1992,12,12,x,x,x,x,x,x,x,x,36.1,x,x
Equatorial Guinea,1993,12,12,x,x,x,x,x,x,x,x,35.8,x,x
Equatorial Guinea,1994,12,12,x,x,x,x,x,x,x,x,35.8,x,x
Equatorial Guinea,1995,12,12,x,x,x,x,x,x,x,x,35.7,103,x
Equatorial Guinea,1996,12,12,x,x,x,x,x,x,x,x,36.1,x,x
Equatorial Guinea,1997,12,12,x,x,x,x,x,x,x,x,36,x,x
Equatorial Guinea,1998,12,12,x,x,x,x,x,x,x,x,36.1,x,x
Equatorial Guinea,1999,12,12,x,x,x,x,x,x,x,x,36.5,x,x
Equatorial Guinea,2000,12,12,97.13136729,97.60790432,6.1,10.1,x,x,x,x,36.8,102.7,x
Equatorial Guinea,2001,12,12,x,x,x,x,x,x,x,x,36.5,x,x
Equatorial Guinea,2002,12,12,x,x,x,x,x,x,x,x,36.8,102.4,x
Equatorial Guinea,2003,12,12,x,x,x,x,x,x,x,x,36.4,x,x
Equatorial Guinea,2004,12,12,x,x,x,x,x,x,x,x,37,x,x
Equatorial Guinea,2005,12,12,x,x,x,x,x,x,x,x,36.5,102.3,x
Equatorial Guinea,2006,12,12,x,x,x,x,x,x,x,x,37.1,x,x
Equatorial Guinea,2011,12,12,98.40987,97.71325,x,x,x,x,x,x,x,x,x
Eritrea,1985,18,18,x,x,x,x,x,x,x,x,42,103.8,x
Eritrea,1986,18,18,x,x,x,x,x,x,x,x,42,x,x
Eritrea,1987,18,18,x,x,x,x,x,x,x,x,42,x,x
Eritrea,1988,18,18,x,x,x,x,x,x,x,x,41.8,x,x
Eritrea,1989,18,18,x,x,x,x,x,x,x,x,41.8,x,x
Eritrea,1990,18,18,x,x,x,x,x,x,x,x,41.8,103.9,x
Eritrea,1991,18,18,x,x,x,x,x,x,x,x,41.9,x,x
Eritrea,1992,18,18,x,x,x,x,x,x,x,x,41.9,x,x
Eritrea,1993,18,18,x,x,x,x,x,x,x,x,42,x,x
Eritrea,1994,18,18,x,x,x,x,x,x,x,x,42,x,x
Eritrea,1995,18,18,x,x,4,8,37.7,1.4,19.6,25.3,42.1,105,x
Eritrea,1996,18,18,x,x,x,x,x,x,x,x,42.1,x,x
Eritrea,1997,18,18,x,x,x,x,x,x,x,x,42,x,x
Eritrea,1998,18,18,x,x,x,x,x,x,x,x,41.9,x,x
Eritrea,1999,18,18,x,x,x,x,x,x,x,x,41.7,x,x
Eritrea,2000,18,18,x,x,x,x,x,x,x,x,41.5,104.5,x
Eritrea,2001,18,18,x,x,x,x,x,x,x,x,41.5,x,x
Eritrea,2002,18,18,77.94529457,86.25322214,5.1,8,31.1,x,20.6,x,41.3,x,x
