Australia,1995,18.0,18.0,99.0,99.0,63.9,66.7,1.5,0.6,27.41,29.62,42.7,100.9,0.00138710740171,5
Australia,1996,18.0,18.0,99.0,99.0,64.88571429,67.28571429,1.4,0.6,27.7,29.9,42.8,101.0,0.00135672451193,5
Australia,1997,18.0,18.0,99.0,99.0,65.87142857,67.87142857,1.32,0.56,27.94,30.12,42.9,101.2,0.00131802120141,5
Australia,1998,18.0,18.0,99.0,99.0,66.85714286,68.45714286,1.24,0.52,28.18,30.34,43.3,101.3,0.00125240460839,5
Australia,1999,18.0,18.0,99.0,99.0,67.84285714,69.04285714,1.16,0.48,28.42,30.56,43.3,101.4,0.00122623395596,5
Australia,2000,18.0,18.0,99.0,99.0,68.82857143,69.62857143,1.08,0.44,28.66,30.78,44.0,101.5,0.00118252086983,5
Australia,2001,18.0,18.0,99.0,99.0,69.81428571,70.21428571,1.0,0.4,28.9,31.0,44.2,101.6,0.00119197474285,5
Australia,2002,18.0,18.0,99.0,99.0,70.8,70.8,0.96,0.4,29.06,31.12,44.3,101.4,0.00115814374874,5
Australia,2003,18.0,18.0,99.0,99.0,69.9,71.3,0.92,0.4,29.22,31.24,44.5,101.4,0.00107550736172,5
Australia,2004,18.0,18.0,99.0,99.0,69.0,71.8,0.88,0.4,29.38,31.36,44.8,101.3,0.00106618874595,5
Australia,2005,18.0,18.0,99.0,99.0,68.1,72.3,0.84,0.4,29.54,31.48,45.0,101.1,0.00103997676895,5
Australia,2006,18.0,18.0,99.0,99.0,67.88421053,72.1,0.8,0.4,29.7,31.6,45.2,100.0,0.00100495238095,5
Austria,1981,16.0,16.0,99.0,99.0,33.570111968,54.055566512,4.2,0.5,23.5,26.9,38.35238095,99.0,0.00279412503138,2
Austria,1985,16.0,16.0,99.0,99.0,33.570111968,54.055566512,3.6,0.54,24.54,27.7,39.4,110.6,0.00188570710877,6
Austria,1986,16.0,16.0,99.0,99.0,33.570111968,54.055566512,3.45,0.55,24.8,27.9,39.5,110.4,0.00177216779704,6
Austria,1987,16.0,16.0,99.0,99.0,33.570111968,54.055566512,3.3,0.56,25.06,28.1,39.9,110.1,0.00160603015075,6
Austria,1988,16.0,16.0,99.0,99.0,33.570111968,54.055566512,3.15,0.57,25.32,28.3,40.3,109.8,0.00153629741271,6
